topo,pmu-sram-size,OPS-Prog FU,psim,vcLimit,debug,waveform,lrange,maketst_err,vec,maketst_time,tokenout,open,VAFG,VMC-alloc,VDAG-split,runp2p_cycle,DAG,split-forward,vdot,runp2p_pass,VPCU,merge,runhybrid_wbw,split,runhybrid_dram_power,PCU_Total,time-out,runhybrid_pass,row,constprop,simfreq,VAFG-split,spatial_sha,vc,MC_Total,runhybrid_cycle,arch,algo,VPMU-split,reserve-pmu,runhybrid_success,VMC-split,VPCU-split,prtime,link-prop,OPS-Fix,VPMU-alloc,codegen,runproute_err,pcu-stage,run-psim,retime-buffer-only,load,runhybrid_deadlock,DAG_Total,reserve-pcu,retime-glob,ag-dce,backend,memelm,succeeded,proute-opts,simulate,col,PCU,pmu-stage,proute-algo,flit-width,VDAG,genpir,avgActive,maxActive,runp2p_time,vlink,name,merge-forward,runhybrid_err,verbose,sr,scheduled,split-algo,routing-cost,dag-stage,genpir_err,runp2p_dram_power,proute-q,app,tungsten,pattern,VPMU,time,project,OPS-All,save,mem-tech,fast,run-tst,runp2p_err,runhybrid_complete,pirArgs,retime-exout,igraph,runp2p_complete,VMC,net,gentst_time,dot,debug-print,runp2p_success,proute-seed,pracc,runp2p_deadlock,routing-algo,notFit,gentst_err,runp2p_wbw,merge-algo,nn,MC,dedicated-dag,PMU,psim-q,bcread,mdone,rundot,VAFG-alloc,VDAG-alloc,mergeTime_ms,OPS-FU,freq,OPS-Other,dag,VPCU-alloc,run-proute,dupra,runp2p_rbw,split-thread,vfifo,trace,slink,pir_sha,clock,runhybrid_rbw,argin,word,runproute_time,runhybrid_time,PMU_Total,argout,mapping,start-id,fifo-depth,retime-local,OPS-Flt,rtelm,stat,module
mesh,65536,,False,4,True,True,True,,16,0:44.95,5,False,1,1,0,78,3,False,True,True,4,False,,True,,200,100,,20,True,0.04kHz,1,2af7980b,4,40,,MyDesign,route_min_directed_valient,2,0,False,1,4,,db,,2,True,,6,False,False,False,False,40,0,False,True,Tst,False,True,-i100 -p100 -t1 -d100,False,20,2,6,route_min_directed_valient,512,0,True,14.003944773175544,41.02564102564103,0:02.14,2,AccelMain,False,,False,True,False,dfs,H-hop,6,,,4,BankEnable_0,True,checkerboard,2,2020-02-18 18:02:45 -0800,pirTest,,True,DDR4,True,False,,False,"--dot=true, --stat=true, --debug=true, --vdot=true, --save=true, --mapping=true, --codegen=true, --net=hybrid, --tungsten, --psim=false, --row=20, --col=20, --spatial-home=/home/yaqiz/spatial_sparse, --fast=true",False,False,True,1,hybrid,45.197315925,True,True,True,0,True,False,dor,,,1.64103,bfs,False,1,False,2,1,True,True,True,1,0,,,1000000000.0,,True,4,False,False,0.0,1,4,False,4,600cf90d,1000000000,,6,32,,,200,4,True,0,16,False,,True,True,False
mesh,65536,,False,4,True,True,True,,16,1:59.39,5,False,1,1,0,134,10,False,True,,25,False,,True,,200,100,,20,True,0.19kHz,1,2af7980b,4,40,,MyDesign,route_min_directed_valient,6,0,False,1,25,,db,,6,True,,6,False,False,False,False,40,0,False,True,Tst,False,True,-i100 -p100 -t1 -d100,False,20,15,6,route_min_directed_valient,512,0,True,10.058403634003893,11.940298507462687,0:00.70,2,AccelMain,False,,False,True,False,dfs,H-hop,6,,,4,BankRange_0,True,checkerboard,6,2020-02-18 18:02:45 -0800,pirTest,,True,DDR4,True,False,,False,"--dot=true, --stat=true, --debug=true, --vdot=true, --save=true, --mapping=true, --codegen=true, --net=hybrid, --tungsten, --psim=false, --row=20, --col=20, --spatial-home=/home/yaqiz/spatial_sparse, --fast=true",False,False,True,1,hybrid,74.497263025,True,True,True,0,True,False,dor,,,0.955224,bfs,False,1,False,6,1,True,True,True,1,0,,,1000000000.0,,True,13,False,False,0.0,1,4,False,4,600cf90d,1000000000,,6,32,,,200,4,True,0,16,False,,True,True,False
mesh,65536,,False,4,True,True,True,,16,2:59.56,5,False,1,7,0,113406,8,False,True,True,41,False,,True,,200,100,,20,True,0.75kHz,1,2af7980b,4,40,,MyDesign,route_min_directed_valient,,0,False,7,41,,db,,,True,,6,False,False,False,False,40,0,False,True,Tst,False,True,-i100 -p100 -t1 -d100,False,20,32,6,route_min_directed_valient,512,0,True,5.627732259767233,7.22360368939915,2:30.90,2,AccelMain,False,,False,True,False,bfs,H-hop,6,,,4,BlackScholes_0,True,checkerboard,,2020-02-18 18:02:45 -0800,pirTest,,True,DDR4,True,False,,False,"--dot=true, --stat=true, --debug=true, --vdot=true, --save=true, --split-algo=bfs, --mapping=true, --codegen=true, --net=hybrid, --tungsten, --psim=false, --row=20, --col=20, --spatial-home=/home/yaqiz/spatial_sparse, --fast=true",False,False,True,7,hybrid,72.665115784,True,True,True,0,True,False,dor,,,4.62311,bfs,False,7,False,1,1,True,True,True,1,0,,,1000000000.0,,True,10,False,False,27.7386,1,4,False,4,600cf90d,1000000000,,6,32,,,200,4,True,0,16,False,,True,True,False
mesh,65536,,False,4,True,True,True,,16,0:11.31,5,False,1,,0,87,0,False,True,True,1,False,,True,,200,100,,20,True,0.13kHz,1,2af7980b,4,40,,MyDesign,route_min_directed_valient,,0,False,,1,,db,,,True,,6,False,False,False,False,40,0,False,True,Tst,False,True,-i100 -p100 -t1 -d100,False,20,0,6,route_min_directed_valient,512,0,True,5.363984674329502,13.793103448275861,0:00.69,2,AccelMain,False,,False,True,False,dfs,H-hop,6,,,4,BreakTest,True,checkerboard,,2020-02-18 18:02:45 -0800,pirTest,,True,DDR4,True,False,,False,"--dot=true, --stat=true, --debug=true, --vdot=true, --save=true, --mapping=true, --codegen=true, --net=hybrid, --tungsten, --psim=false, --row=20, --col=20, --spatial-home=/home/yaqiz/spatial_sparse, --fast=true",False,False,True,,hybrid,12.182084675,True,True,True,0,True,False,dor,,,0.0,bfs,False,0,False,1,1,True,True,True,1,0,,,1000000000.0,,True,1,False,False,0.0,1,4,False,4,600cf90d,1000000000,,6,32,,,200,4,True,0,16,False,,True,True,False
mesh,65536,,False,4,True,True,True,,16,0:24.19,5,False,1,,0,23,0,False,True,True,2,False,,True,,200,100,,20,True,0.01kHz,1,2af7980b,4,40,,MyDesign,route_min_directed_valient,,0,False,,2,,db,,,True,,6,False,False,False,False,40,0,False,True,Tst,False,True,-i100 -p100 -t1 -d100,False,20,0,6,route_min_directed_valient,512,0,True,23.91304347826087,43.47826086956522,0:01.57,2,AccelMain,False,,False,True,False,dfs,H-hop,6,,,4,BreakTest2,True,checkerboard,,2020-02-18 18:02:45 -0800,pirTest,,True,DDR4,True,False,,False,"--dot=true, --stat=true, --debug=true, --vdot=true, --save=true, --mapping=true, --codegen=true, --net=hybrid, --tungsten, --psim=false, --row=20, --col=20, --spatial-home=/home/yaqiz/spatial_sparse, --fast=true",False,False,True,,hybrid,21.448936686,True,True,True,0,True,False,dor,,,0.0,bfs,False,0,False,2,1,True,True,True,1,0,,,1000000000.0,,True,2,False,False,0.0,1,4,False,4,600cf90d,1000000000,,6,32,,,200,4,True,0,16,False,,True,True,False
mesh,65536,,False,4,True,True,True,,16,0:27.50,5,False,1,2,0,271,3,False,True,True,12,False,,True,,200,100,,20,True,0.3kHz,1,2af7980b,4,40,,MyDesign,route_min_directed_valient,2,0,False,2,12,,db,,2,True,,6,False,False,False,False,40,0,False,True,Tst,False,True,-i100 -p100 -t1 -d100,False,20,9,6,route_min_directed_valient,512,0,True,20.647433747064742,47.23247232472325,0:00.91,2,AccelMain,False,,False,True,False,dfs,H-hop,6,,,4,BroadcastTest,True,checkerboard,2,2020-02-18 18:02:45 -0800,pirTest,,True,DDR4,True,False,,False,"--dot=true, --stat=true, --debug=true, --vdot=true, --save=true, --mapping=true, --codegen=true, --net=hybrid, --tungsten, --psim=false, --row=20, --col=20, --spatial-home=/home/yaqiz/spatial_sparse, --fast=true",False,False,True,2,hybrid,38.870062977,True,True,True,0,True,False,dor,,,15.1144,bfs,False,2,False,2,1,True,True,True,1,0,,,1000000000.0,,True,6,False,False,0.472325,1,4,False,4,600cf90d,1000000000,,6,32,,,200,4,True,0,16,False,,True,True,False
mesh,65536,,False,4,True,True,True,,16,0:17.03,5,False,1,1,0,139,0,False,True,True,5,False,,True,,200,100,,20,True,0.24kHz,1,2af7980b,4,40,,MyDesign,route_min_directed_valient,1,0,False,1,5,,db,,1,True,,6,False,False,False,False,40,0,False,True,Tst,False,True,-i100 -p100 -t1 -d100,False,20,5,6,route_min_directed_valient,512,0,True,21.71353826030085,34.53237410071942,0:00.58,2,AccelMain,False,,False,True,False,dfs,H-hop,6,,,4,CountZero_0,True,checkerboard,1,2020-02-18 18:02:45 -0800,pirTest,,True,DDR4,True,False,,False,"--dot=true, --stat=true, --debug=true, --vdot=true, --save=true, --mapping=true, --codegen=true, --net=hybrid, --tungsten, --psim=false, --row=20, --col=20, --spatial-home=/home/yaqiz/spatial_sparse, --fast=true",False,False,True,1,hybrid,20.07792935,True,True,True,0,True,False,dor,,,1.38129,bfs,False,1,False,1,1,True,True,True,1,0,,,1000000000.0,,True,4,False,False,0.460432,1,4,False,4,600cf90d,1000000000,,6,32,,,200,4,True,0,16,False,,True,True,False
mesh,65536,,False,4,True,True,True,,16,0:23.37,5,False,1,2,0,930,0,False,True,True,7,False,,True,,200,100,,20,True,0.72kHz,1,2af7980b,4,40,,MyDesign,route_min_directed_valient,,0,False,2,7,,db,,,True,,6,False,False,False,False,40,0,False,True,Tst,False,True,-i100 -p100 -t1 -d100,False,20,0,6,route_min_directed_valient,512,0,True,7.096774193548387,27.526881720430108,0:01.30,2,AccelMain,False,,False,True,False,dfs,H-hop,6,,,4,DRAMDoubleBuffer2_0,True,checkerboard,,2020-02-18 18:02:45 -0800,pirTest,,True,DDR4,True,False,,False,"--dot=true, --stat=true, --debug=true, --vdot=true, --save=true, --mapping=true, --codegen=true, --net=hybrid, --tungsten, --psim=false, --row=20, --col=20, --spatial-home=/home/yaqiz/spatial_sparse, --fast=true",False,False,True,2,hybrid,19.715790024,True,True,True,0,True,False,dor,,,1.10108,bfs,False,2,False,7,1,True,True,True,1,0,,,1000000000.0,,True,7,False,False,1.10108,1,4,False,4,600cf90d,1000000000,,6,32,,,200,4,True,0,16,False,,True,True,False
mesh,65536,,False,4,True,True,True,,16,0:35.75,5,False,1,2,0,930,0,False,True,True,7,False,,True,,200,100,,20,True,0.93kHz,1,2af7980b,4,40,,MyDesign,route_min_directed_valient,,0,False,2,7,,db,,,True,,6,False,False,False,False,40,0,False,True,Tst,False,True,-i100 -p100 -t1 -d100,False,20,0,6,route_min_directed_valient,512,0,True,7.096774193548387,27.526881720430108,0:01.00,2,AccelMain,False,,False,True,False,dfs,H-hop,6,,,4,DRAMDoubleBuffer2_1,True,checkerboard,,2020-02-18 18:02:45 -0800,pirTest,,True,DDR4,True,False,,False,"--dot=true, --stat=true, --debug=true, --vdot=true, --save=true, --mapping=true, --codegen=true, --net=hybrid, --tungsten, --psim=false, --row=20, --col=20, --spatial-home=/home/yaqiz/spatial_sparse, --fast=true",False,False,True,2,hybrid,34.367866107,True,True,True,0,True,False,dor,,,1.10108,bfs,False,2,False,7,1,True,True,True,1,0,,,1000000000.0,,True,7,False,False,1.10108,1,4,False,4,600cf90d,1000000000,,6,32,,,200,4,True,0,16,False,,True,True,False
mesh,65536,,False,4,True,True,True,,16,0:33.01,5,False,1,4,0,470,0,False,True,True,14,False,,True,,200,100,,20,True,0.42kHz,1,2af7980b,4,40,,MyDesign,route_min_directed_valient,,0,False,4,14,,db,,,True,,6,False,False,False,False,40,0,False,True,Tst,False,True,-i100 -p100 -t1 -d100,False,20,0,6,route_min_directed_valient,512,0,True,7.898936170212766,27.23404255319149,0:01.12,2,AccelMain,False,,False,True,False,dfs,H-hop,6,,,4,DRAMDoubleBuffer2_2,True,checkerboard,,2020-02-18 18:02:45 -0800,pirTest,,True,DDR4,True,False,,False,"--dot=true, --stat=true, --debug=true, --vdot=true, --save=true, --mapping=true, --codegen=true, --net=hybrid, --tungsten, --psim=false, --row=20, --col=20, --spatial-home=/home/yaqiz/spatial_sparse, --fast=true",False,False,True,4,hybrid,26.879892757,True,True,True,0,True,False,dor,,,2.17872,bfs,False,4,False,14,1,True,True,True,1,0,,,1000000000.0,,True,14,False,False,2.17872,1,4,False,4,600cf90d,1000000000,,6,32,,,200,4,True,0,16,False,,True,True,False
mesh,65536,,False,4,True,True,True,,16,0:54.14,5,False,1,6,0,490,20,False,True,True,23,False,,True,,200,100,,20,True,0.32kHz,1,2af7980b,4,40,,MyDesign,route_min_directed_valient,,0,False,6,23,,db,,,True,,6,False,False,False,False,40,0,False,True,Tst,False,True,-i100 -p100 -t1 -d100,False,20,0,6,route_min_directed_valient,512,0,True,9.355102040816327,26.122448979591837,0:01.54,2,AccelMain,False,,False,True,False,dfs,H-hop,6,,,4,DRAMDoubleBuffer2_3,True,checkerboard,,2020-02-18 18:02:45 -0800,pirTest,,True,DDR4,True,False,,False,"--dot=true, --stat=true, --debug=true, --vdot=true, --save=true, --mapping=true, --codegen=true, --net=hybrid, --tungsten, --psim=false, --row=20, --col=20, --spatial-home=/home/yaqiz/spatial_sparse, --fast=true",False,False,True,6,hybrid,30.19786873,True,True,True,0,True,False,dor,,,2.0898,bfs,False,6,False,3,1,True,True,True,1,0,,,1000000000.0,,True,23,False,False,2.0898,1,4,False,4,600cf90d,1000000000,,6,32,,,200,4,True,0,16,False,,True,True,False
