runhybrid_rbw,vlink,merge-algo,rtelm,retime-buffer-only,pracc,verbose,runp2p_rbw,arch,routing-cost,runp2p_complete,simulate,psim-q,runhybrid_time,VAFG-alloc,project,net,fifo-depth,runp2p_success,VDAG-split,start-id,split-forward,mdone,waveform,stat,dag,clock,runproute_time,maketst_err,run-psim,col,psim,app,PMU_Total,retime-exout,split-thread,VBB-alloc,runp2p_err,VPCU,merge,pir_sha,ag-dce,memelm,argout,gentst_err,VPMU,runp2p_pass,row,rundot,runhybrid_complete,runp2p_cycle,VMC,codegen,proute-algo,pmu-stage,prtime,MC,pmu-sram-size,DAG_Total,open,freq,dedicated-dag,runproute_err,dupra,dag-stage,runhybrid_deadlock,simfreq,routing-algo,reserve-pmu,runhybrid_err,MC_Total,debug,proute-seed,VPMU-alloc,OPS-FU,pcu-stage,time,runhybrid_cycle,runp2p_time,topo,VMC-alloc,runp2p_dram_power,VBB,pirArgs,vcLimit,igraph,link-prop,retime-local,tokenout,backend,bcread,split,split-algo,runhybrid_wbw,vec,runhybrid_dram_power,gentst_time,avgActive,lrange,mergeTime_ms,succeeded,proute-q,nn,maxActive,retime-glob,run-tst,genpir_err,mapping,VBB-split,vfifo,run-proute,scheduled,save,slink,VPMU-split,PMU,OPS-All,PCU,VAFG-split,fast,notFit,OPS-Prog FU,time-out,DAG,pattern,VDAG-alloc,VDAG,argin,VMC-split,dot,word,algo,module,VPCU-split,maketst_time,trace,vc,sr,reserve-pcu,OPS-Other,mem-tech,runp2p_deadlock,debug-tst,merge-forward,genpir,name,constprop,tungsten,VPCU-alloc,flit-width,load,spatial_sha,runhybrid_pass,OPS-Fix,runp2p_wbw,vdot,proute-opts,runhybrid_success,PCU_Total,OPS-Flt,VAFG
,2,bfs,True,False,True,False,0.0,MyDesign,H-hop,True,False,1,,1,pirTest,hybrid,16,True,0,0,False,True,True,True,True,1000000000,,,False,20,False,BankEnable_0,200,False,1,,,4,False,d3ea5c93,True,False,4,,2,True,20,True,False,78,1,True,route_min_directed_valient,6,,1,65536,40,False,1000000000.0,False,,False,6,False,0.13kHz,dor,0,,40,True,0,2,,6,2020-01-22 22:48:45 -0800,,0:00.62,mesh,1,,,"--dot=true, --stat=true, --debug=true, --vdot=true, --save=false, --mapping=true, --codegen=true, --net=hybrid, --tungsten, --psim=false, --row=20, --col=20, --spatial-home=/local/ssd/home/yaqiz/pldi20/spatial, --fast=true",4,False,db,False,5,Tst,True,True,dfs,,16,,25.108625305,14.003944773175544,True,,True,4,False,41.02564102564103,False,False,,True,,4,False,False,False,4,2,2,,2,1,True,,,100,3,checkerboard,0,0,6,1,True,32,route_min_directed_valient,False,4,0:26.70,False,4,True,0,,DDR4,False,False,False,True,AccelMain,True,True,4,512,False,cba72708,,,1.64103,True,-i100 -p100 -t1 -d100,False,200,,1
,2,bfs,True,False,True,False,0.0,MyDesign,H-hop,True,False,1,,1,pirTest,hybrid,16,True,0,0,False,True,True,True,True,1000000000,,,False,20,False,BankRange_0,200,False,1,,,25,False,d3ea5c93,True,False,4,,6,,20,True,False,134,1,True,route_min_directed_valient,6,,1,65536,40,False,1000000000.0,False,,False,6,False,0.18kHz,dor,0,,40,True,0,6,,6,2020-01-22 22:48:45 -0800,,0:00.76,mesh,1,,,"--dot=true, --stat=true, --debug=true, --vdot=true, --save=false, --mapping=true, --codegen=true, --net=hybrid, --tungsten, --psim=false, --row=20, --col=20, --spatial-home=/local/ssd/home/yaqiz/pldi20/spatial, --fast=true",4,False,db,False,5,Tst,True,True,dfs,,16,,69.536406848,10.058403634003893,True,,True,4,False,11.940298507462687,False,False,,True,,4,False,False,False,4,6,6,,15,1,True,,,100,10,checkerboard,0,0,6,1,True,32,route_min_directed_valient,False,25,1:15.49,False,4,True,0,,DDR4,False,False,False,True,AccelMain,True,True,13,512,False,cba72708,,,0.955224,True,-i100 -p100 -t1 -d100,False,200,,1
,2,bfs,True,False,True,False,27.7479,MyDesign,H-hop,True,False,1,,1,pirTest,hybrid,16,True,0,0,False,True,True,True,True,1000000000,,,False,20,False,BlackScholes_0,200,False,1,,,42,False,d3ea5c93,True,False,4,,,True,20,True,False,113368,7,True,route_min_directed_valient,6,,7,65536,40,False,1000000000.0,False,,False,6,False,2.89kHz,dor,0,,40,True,0,,,6,2020-01-22 22:48:45 -0800,,0:39.26,mesh,7,,,"--dot=true, --stat=true, --debug=true, --vdot=true, --save=false, --split-algo=bfs, --mapping=true, --codegen=true, --net=hybrid, --tungsten, --psim=false, --row=20, --col=20, --spatial-home=/local/ssd/home/yaqiz/pldi20/spatial, --fast=true",4,False,db,False,5,Tst,True,True,bfs,,16,,63.059124849,5.665900590835317,True,,True,4,False,7.226024980594171,False,False,,True,,4,False,False,False,4,,1,,33,1,True,,,100,8,checkerboard,0,0,6,7,True,32,route_min_directed_valient,False,42,2:01.33,False,4,True,0,,DDR4,False,False,False,True,AccelMain,True,True,10,512,False,cba72708,,,4.62466,True,-i100 -p100 -t1 -d100,False,200,,1
,2,bfs,True,False,True,False,0.0,MyDesign,H-hop,True,False,1,,1,pirTest,hybrid,16,True,0,0,False,True,True,True,True,1000000000,,,False,20,False,BreakTest,200,False,1,,,1,False,d3ea5c93,True,False,4,,,True,20,True,False,87,,True,route_min_directed_valient,6,,0,65536,40,False,1000000000.0,False,,False,6,False,0.19kHz,dor,0,,40,True,0,,,6,2020-01-22 22:48:45 -0800,,0:00.47,mesh,,,,"--dot=true, --stat=true, --debug=true, --vdot=true, --save=false, --mapping=true, --codegen=true, --net=hybrid, --tungsten, --psim=false, --row=20, --col=20, --spatial-home=/local/ssd/home/yaqiz/pldi20/spatial, --fast=true",4,False,db,False,5,Tst,True,True,dfs,,16,,11.032596723,5.363984674329502,True,,True,4,False,13.793103448275861,False,False,,True,,4,False,False,False,4,,1,,0,1,True,,,100,0,checkerboard,0,0,6,,True,32,route_min_directed_valient,False,1,0:08.67,False,4,True,0,,DDR4,False,False,False,True,AccelMain,True,True,1,512,False,cba72708,,,0.0,True,-i100 -p100 -t1 -d100,False,200,,1
,2,bfs,True,False,True,False,0.0,MyDesign,H-hop,True,False,1,,1,pirTest,hybrid,16,True,0,0,False,True,True,True,True,1000000000,,,False,20,False,BreakTest2,200,False,1,,,2,False,d3ea5c93,True,False,4,,,True,20,True,False,23,,True,route_min_directed_valient,6,,0,65536,40,False,1000000000.0,False,,False,6,False,0.03kHz,dor,0,,40,True,0,,,6,2020-01-22 22:48:45 -0800,,0:00.66,mesh,,,,"--dot=true, --stat=true, --debug=true, --vdot=true, --save=false, --mapping=true, --codegen=true, --net=hybrid, --tungsten, --psim=false, --row=20, --col=20, --spatial-home=/local/ssd/home/yaqiz/pldi20/spatial, --fast=true",4,False,db,False,5,Tst,True,True,dfs,,16,,12.370167894,23.91304347826087,True,,True,4,False,43.47826086956522,False,False,,True,,4,False,False,False,4,,2,,0,1,True,,,100,0,checkerboard,0,0,6,,True,32,route_min_directed_valient,False,2,0:12.69,False,4,True,0,,DDR4,False,False,False,True,AccelMain,True,True,2,512,False,cba72708,,,0.0,True,-i100 -p100 -t1 -d100,False,200,,1
,2,bfs,True,False,True,False,0.472325,MyDesign,H-hop,True,False,1,,1,pirTest,hybrid,16,True,0,0,False,True,True,True,True,1000000000,,,False,20,False,BroadcastTest,200,False,1,,,12,False,d3ea5c93,True,False,4,,2,True,20,True,False,271,2,True,route_min_directed_valient,6,,2,65536,40,False,1000000000.0,False,,False,6,False,0.35kHz,dor,0,,40,True,0,2,,6,2020-01-22 22:48:45 -0800,,0:00.78,mesh,2,,,"--dot=true, --stat=true, --debug=true, --vdot=true, --save=false, --mapping=true, --codegen=true, --net=hybrid, --tungsten, --psim=false, --row=20, --col=20, --spatial-home=/local/ssd/home/yaqiz/pldi20/spatial, --fast=true",4,False,db,False,5,Tst,True,True,dfs,,16,,39.232084892,20.647433747064742,True,,True,4,False,47.23247232472325,False,False,,True,,4,False,False,False,4,2,2,,9,1,True,,,100,3,checkerboard,0,0,6,2,True,32,route_min_directed_valient,False,12,0:46.09,False,4,True,0,,DDR4,False,False,False,True,AccelMain,True,True,6,512,False,cba72708,,,15.1144,True,-i100 -p100 -t1 -d100,False,200,,1
,2,bfs,True,False,True,False,0.460432,MyDesign,H-hop,True,False,1,,1,pirTest,hybrid,16,True,0,0,False,True,True,True,True,1000000000,,,False,20,False,CountZero_0,200,False,1,,,5,False,d3ea5c93,True,False,4,,1,True,20,True,False,139,1,True,route_min_directed_valient,6,,1,65536,40,False,1000000000.0,False,,False,6,False,0.24kHz,dor,0,,40,True,0,1,,6,2020-01-22 22:48:45 -0800,,0:00.57,mesh,1,,,"--dot=true, --stat=true, --debug=true, --vdot=true, --save=false, --mapping=true, --codegen=true, --net=hybrid, --tungsten, --psim=false, --row=20, --col=20, --spatial-home=/local/ssd/home/yaqiz/pldi20/spatial, --fast=true",4,False,db,False,5,Tst,True,True,dfs,,16,,22.93030903,21.71353826030085,True,,True,4,False,34.53237410071942,False,False,,True,,4,False,False,False,4,1,1,,5,1,True,,,100,0,checkerboard,0,0,6,1,True,32,route_min_directed_valient,False,5,0:19.91,False,4,True,0,,DDR4,False,False,False,True,AccelMain,True,True,4,512,False,cba72708,,,1.38129,True,-i100 -p100 -t1 -d100,False,200,,1
,2,bfs,True,False,True,False,1.10108,MyDesign,H-hop,True,False,1,,1,pirTest,hybrid,16,True,0,0,False,True,True,True,True,1000000000,,,False,20,False,DRAMDoubleBuffer2_0,200,False,1,,,7,False,d3ea5c93,True,False,4,,,True,20,True,False,930,2,True,route_min_directed_valient,6,,2,65536,40,False,1000000000.0,False,,False,6,False,1.72kHz,dor,0,,40,True,0,,,6,2020-01-22 22:48:45 -0800,,0:00.54,mesh,2,,,"--dot=true, --stat=true, --debug=true, --vdot=true, --save=false, --mapping=true, --codegen=true, --net=hybrid, --tungsten, --psim=false, --row=20, --col=20, --spatial-home=/local/ssd/home/yaqiz/pldi20/spatial, --fast=true",4,False,db,False,5,Tst,True,True,dfs,,16,,18.973150769,7.096774193548387,True,,True,4,False,27.526881720430108,False,False,,True,,4,False,False,False,4,,7,,0,1,True,,,100,0,checkerboard,0,0,6,2,True,32,route_min_directed_valient,False,7,0:19.84,False,4,True,0,,DDR4,False,False,False,True,AccelMain,True,True,7,512,False,cba72708,,,1.10108,True,-i100 -p100 -t1 -d100,False,200,,1
,2,bfs,True,False,True,False,1.10108,MyDesign,H-hop,True,False,1,,1,pirTest,hybrid,16,True,0,0,False,True,True,True,True,1000000000,,,False,20,False,DRAMDoubleBuffer2_1,200,False,1,,,7,False,d3ea5c93,True,False,4,,,True,20,True,False,930,2,True,route_min_directed_valient,6,,2,65536,40,False,1000000000.0,False,,False,6,False,1.48kHz,dor,0,,40,True,0,,,6,2020-01-22 22:48:45 -0800,,0:00.63,mesh,2,,,"--dot=true, --stat=true, --debug=true, --vdot=true, --save=false, --mapping=true, --codegen=true, --net=hybrid, --tungsten, --psim=false, --row=20, --col=20, --spatial-home=/local/ssd/home/yaqiz/pldi20/spatial, --fast=true",4,False,db,False,5,Tst,True,True,dfs,,16,,19.869698374,7.096774193548387,True,,True,4,False,27.526881720430108,False,False,,True,,4,False,False,False,4,,7,,0,1,True,,,100,0,checkerboard,0,0,6,2,True,32,route_min_directed_valient,False,7,0:19.04,False,4,True,0,,DDR4,False,False,False,True,AccelMain,True,True,7,512,False,cba72708,,,1.10108,True,-i100 -p100 -t1 -d100,False,200,,1
,2,bfs,True,False,True,False,2.17872,MyDesign,H-hop,True,False,1,,1,pirTest,hybrid,16,True,0,0,False,True,True,True,True,1000000000,,,False,20,False,DRAMDoubleBuffer2_2,200,False,1,,,14,False,d3ea5c93,True,False,4,,,True,20,True,False,470,4,True,route_min_directed_valient,6,,4,65536,40,False,1000000000.0,False,,False,6,False,0.84kHz,dor,0,,40,True,0,,,6,2020-01-22 22:48:45 -0800,,0:00.56,mesh,4,,,"--dot=true, --stat=true, --debug=true, --vdot=true, --save=false, --mapping=true, --codegen=true, --net=hybrid, --tungsten, --psim=false, --row=20, --col=20, --spatial-home=/local/ssd/home/yaqiz/pldi20/spatial, --fast=true",4,False,db,False,5,Tst,True,True,dfs,,16,,27.288063396,7.898936170212766,True,,True,4,False,27.23404255319149,False,False,,True,,4,False,False,False,4,,14,,0,1,True,,,100,0,checkerboard,0,0,6,4,True,32,route_min_directed_valient,False,14,0:30.68,False,4,True,0,,DDR4,False,False,False,True,AccelMain,True,True,14,512,False,cba72708,,,2.17872,True,-i100 -p100 -t1 -d100,False,200,,1
