mapping,proute-algo,PMU,save,split-forward,VBB,slink,project,VPCU-split,OPS-Fix,ag-dce,runhybrid_complete,VPMU-split,fast,routing-cost,VPMU,gentst_err,dot,VBB-alloc,freq,arch,proute-opts,VMC-split,psim,lrange,flit-width,pmu-stage,runp2p_wbw,dedicated-dag,row,run-tst,genpir,VAFG,VDAG-alloc,rundot,runhybrid_pass,proute-q,runhybrid_deadlock,dupra,vcLimit,mem-tech,split-algo,OPS-All,VAFG-alloc,simfreq,debug-print,sr,runhybrid_rbw,stat,vc,genpir_err,runproute_err,module,pcu-stage,prtime,col,runp2p_success,dag-stage,retime-buffer-only,runp2p_time,VPMU-alloc,succeeded,runproute_time,nn,dag,runhybrid_wbw,runp2p_complete,reserve-pmu,fifo-depth,notFit,net,runp2p_dram_power,memelm,merge-algo,rtelm,pir_sha,runhybrid_success,VDAG,OPS-FU,VPCU-alloc,tokenout,trace,name,merge-forward,pracc,start-id,mergeTime_ms,runp2p_deadlock,pattern,link-prop,pmu-sram-size,runp2p_cycle,VDAG-split,reserve-pcu,runhybrid_dram_power,app,simulate,runhybrid_time,topo,scheduled,time-out,retime-exout,PCU,word,waveform,spatial_sha,vec,argin,retime-glob,merge,mdone,maketst_err,PMU_Total,runp2p_err,routing-algo,split,VMC-alloc,VPCU,maxActive,OPS-Prog FU,VMC,split-thread,run-psim,MC_Total,vdot,psim-q,runhybrid_cycle,run-proute,PCU_Total,igraph,tungsten,maketst_time,clock,MC,load,runhybrid_err,algo,pirArgs,runp2p_rbw,argout,VAFG-split,bcread,VBB-split,DAG_Total,gentst_time,avgActive,backend,OPS-Flt,debug,DAG,runp2p_pass,vfifo,constprop,open,verbose,proute-seed,vlink,OPS-Other,time,codegen,retime-local
True,route_min_directed_valient,2,True,False,,4,pirTest,4,,True,False,2,True,H-hop,2,,True,,1000000000.0,MyDesign,-i100 -p100 -t1 -d100,1,False,True,512,6,1.64103,False,20,False,True,1,0,True,,4,False,False,4,DDR4,dfs,,1,0.16kHz,True,True,,True,4,,,False,6,,20,True,6,False,0:00.50,2,True,,False,True,,True,0,16,,hybrid,,False,bfs,True,ce3ad48f,False,0,,4,5,False,AccelMain,False,True,0,,False,checkerboard,db,65536,78,0,0,,BankEnable_0,False,,mesh,False,100,False,2,32,True,eb1d1ef5,16,6,False,False,True,,200,,dor,True,1,4,41.02564102564103,,1,1,False,40,True,1,,False,200,False,True,0:24.36,1000000000,1,False,,route_min_directed_valient,"--dot=true, --stat=true, --debug=true, --vdot=true, --save=true, --mapping=true, --codegen=true, --net=hybrid, --tungsten, --psim=false, --row=20, --col=20, --spatial-home=/home/yaqiz/spatial, --fast=true",0.0,4,1,True,,40,31.976354586,14.003944773175544,Tst,,True,3,True,4,True,False,False,0,2,,2020-01-30 19:39:24 -0800,True,False
True,route_min_directed_valient,6,True,False,,4,pirTest,25,,True,False,6,True,H-hop,6,,True,,1000000000.0,MyDesign,-i100 -p100 -t1 -d100,1,False,True,512,6,0.955224,False,20,False,True,1,0,True,,4,False,False,4,DDR4,dfs,,1,0.19kHz,True,True,,True,4,,,False,6,,20,True,6,False,0:00.69,6,True,,False,True,,True,0,16,,hybrid,,False,bfs,True,ce3ad48f,False,0,,13,5,False,AccelMain,False,True,0,,False,checkerboard,db,65536,134,0,0,,BankRange_0,False,,mesh,False,100,False,15,32,True,eb1d1ef5,16,6,False,False,True,,200,,dor,True,1,25,11.940298507462687,,1,1,False,40,True,1,,False,200,False,True,1:04.36,1000000000,1,False,,route_min_directed_valient,"--dot=true, --stat=true, --debug=true, --vdot=true, --save=true, --mapping=true, --codegen=true, --net=hybrid, --tungsten, --psim=false, --row=20, --col=20, --spatial-home=/home/yaqiz/spatial, --fast=true",0.0,4,1,True,,40,36.012298309,10.058403634003893,Tst,,True,10,,4,True,False,False,0,2,,2020-01-30 19:39:24 -0800,True,False
True,route_min_directed_valient,1,True,False,,4,pirTest,40,,True,False,,True,H-hop,,,True,,1000000000.0,MyDesign,-i100 -p100 -t1 -d100,7,False,True,512,6,4.96908,False,20,False,True,1,0,True,,4,False,False,4,DDR4,bfs,,1,2.07kHz,True,True,,True,4,,,False,6,,20,True,6,False,0:50.93,,True,,False,True,,True,0,16,,hybrid,,False,bfs,True,ce3ad48f,False,0,,10,5,False,AccelMain,False,True,0,,False,checkerboard,db,65536,105510,0,0,,BlackScholes_0,False,,mesh,False,100,False,31,32,True,eb1d1ef5,16,6,False,False,True,,200,,dor,True,7,40,7.764192967491233,,7,1,False,40,True,1,,False,200,False,True,2:03.95,1000000000,7,False,,route_min_directed_valient,"--dot=true, --stat=true, --debug=true, --vdot=true, --save=true, --split-algo=bfs, --mapping=true, --codegen=true, --net=hybrid, --tungsten, --psim=false, --row=20, --col=20, --spatial-home=/home/yaqiz/spatial, --fast=true",29.8145,4,1,True,,40,49.643110446,6.008051595199734,Tst,,True,8,True,4,True,False,False,0,2,,2020-01-30 19:39:24 -0800,True,False
True,route_min_directed_valient,1,True,False,,4,pirTest,1,,True,False,,True,H-hop,,,True,,1000000000.0,MyDesign,-i100 -p100 -t1 -d100,,False,True,512,6,0.0,False,20,False,True,1,0,True,,4,False,False,4,DDR4,dfs,,1,0.09kHz,True,True,,True,4,,,False,6,,20,True,6,False,0:01.02,,True,,False,True,,True,0,16,,hybrid,,False,bfs,True,ce3ad48f,False,0,,1,5,False,AccelMain,False,True,0,,False,checkerboard,db,65536,87,0,0,,BreakTest,False,,mesh,False,100,False,0,32,True,eb1d1ef5,16,6,False,False,True,,200,,dor,True,,1,13.793103448275861,,,1,False,40,True,1,,False,200,False,True,0:11.88,1000000000,0,False,,route_min_directed_valient,"--dot=true, --stat=true, --debug=true, --vdot=true, --save=true, --mapping=true, --codegen=true, --net=hybrid, --tungsten, --psim=false, --row=20, --col=20, --spatial-home=/home/yaqiz/spatial, --fast=true",0.0,4,1,True,,40,10.295367606,5.363984674329502,Tst,,True,0,True,4,True,False,False,0,2,,2020-01-30 19:39:24 -0800,True,False
True,route_min_directed_valient,2,True,False,,4,pirTest,2,,True,False,,True,H-hop,,,True,,1000000000.0,MyDesign,-i100 -p100 -t1 -d100,,False,True,512,6,0.0,False,20,False,True,1,0,True,,4,False,False,4,DDR4,dfs,,1,0.03kHz,True,True,,True,4,,,False,6,,20,True,6,False,0:00.77,,True,,False,True,,True,0,16,,hybrid,,False,bfs,True,ce3ad48f,False,0,,2,5,False,AccelMain,False,True,0,,False,checkerboard,db,65536,23,0,0,,BreakTest2,False,,mesh,False,100,False,0,32,True,eb1d1ef5,16,6,False,False,True,,200,,dor,True,,2,43.47826086956522,,,1,False,40,True,1,,False,200,False,True,0:15.88,1000000000,0,False,,route_min_directed_valient,"--dot=true, --stat=true, --debug=true, --vdot=true, --save=true, --mapping=true, --codegen=true, --net=hybrid, --tungsten, --psim=false, --row=20, --col=20, --spatial-home=/home/yaqiz/spatial, --fast=true",0.0,4,1,True,,40,20.290603731,23.91304347826087,Tst,,True,0,True,4,True,False,False,0,2,,2020-01-30 19:39:24 -0800,True,False
True,route_min_directed_valient,2,True,False,,4,pirTest,12,,True,False,2,True,H-hop,2,,True,,1000000000.0,MyDesign,-i100 -p100 -t1 -d100,2,False,True,512,6,15.1144,False,20,False,True,1,0,True,,4,False,False,4,DDR4,dfs,,1,0.71kHz,True,True,,True,4,,,False,6,,20,True,6,False,0:00.38,2,True,,False,True,,True,0,16,,hybrid,,False,bfs,True,ce3ad48f,False,0,,6,5,False,AccelMain,False,True,0,,False,checkerboard,db,65536,271,0,0,,BroadcastTest,False,,mesh,False,100,False,9,32,True,eb1d1ef5,16,6,False,False,True,,200,,dor,True,2,12,47.23247232472325,,2,1,False,40,True,1,,False,200,False,True,0:43.40,1000000000,2,False,,route_min_directed_valient,"--dot=true, --stat=true, --debug=true, --vdot=true, --save=true, --mapping=true, --codegen=true, --net=hybrid, --tungsten, --psim=false, --row=20, --col=20, --spatial-home=/home/yaqiz/spatial, --fast=true",0.472325,4,1,True,,40,43.280231451,20.647433747064742,Tst,,True,3,True,4,True,False,False,0,2,,2020-01-30 19:39:24 -0800,True,False
True,route_min_directed_valient,1,True,False,,4,pirTest,5,,True,False,1,True,H-hop,1,,True,,1000000000.0,MyDesign,-i100 -p100 -t1 -d100,1,False,True,512,6,1.38129,False,20,False,True,1,0,True,,4,False,False,4,DDR4,dfs,,1,0.32kHz,True,True,,True,4,,,False,6,,20,True,6,False,0:00.43,1,True,,False,True,,True,0,16,,hybrid,,False,bfs,True,ce3ad48f,False,0,,4,5,False,AccelMain,False,True,0,,False,checkerboard,db,65536,139,0,0,,CountZero_0,False,,mesh,False,100,False,5,32,True,eb1d1ef5,16,6,False,False,True,,200,,dor,True,1,5,34.53237410071942,,1,1,False,40,True,1,,False,200,False,True,0:16.95,1000000000,1,False,,route_min_directed_valient,"--dot=true, --stat=true, --debug=true, --vdot=true, --save=true, --mapping=true, --codegen=true, --net=hybrid, --tungsten, --psim=false, --row=20, --col=20, --spatial-home=/home/yaqiz/spatial, --fast=true",0.460432,4,1,True,,40,21.018675055,21.71353826030085,Tst,,True,0,True,4,True,False,False,0,2,,2020-01-30 19:39:24 -0800,True,False
True,route_min_directed_valient,7,True,False,,4,pirTest,7,,True,False,,True,H-hop,,,True,,1000000000.0,MyDesign,-i100 -p100 -t1 -d100,2,False,True,512,6,1.10108,False,20,False,True,1,0,True,,4,False,False,4,DDR4,dfs,,1,1.19kHz,True,True,,True,4,,,False,6,,20,True,6,False,0:00.78,,True,,False,True,,True,0,16,,hybrid,,False,bfs,True,ce3ad48f,False,0,,7,5,False,AccelMain,False,True,0,,False,checkerboard,db,65536,930,0,0,,DRAMDoubleBuffer2_0,False,,mesh,False,100,False,0,32,True,eb1d1ef5,16,6,False,False,True,,200,,dor,True,2,7,27.526881720430108,,2,1,False,40,True,1,,False,200,False,True,0:19.14,1000000000,2,False,,route_min_directed_valient,"--dot=true, --stat=true, --debug=true, --vdot=true, --save=true, --mapping=true, --codegen=true, --net=hybrid, --tungsten, --psim=false, --row=20, --col=20, --spatial-home=/home/yaqiz/spatial, --fast=true",1.10108,4,1,True,,40,22.3403799,7.096774193548387,Tst,,True,0,True,4,True,False,False,0,2,,2020-01-30 19:39:24 -0800,True,False
True,route_min_directed_valient,7,True,False,,4,pirTest,7,,True,False,,True,H-hop,,,True,,1000000000.0,MyDesign,-i100 -p100 -t1 -d100,2,False,True,512,6,1.10108,False,20,False,True,1,0,True,,4,False,False,4,DDR4,dfs,,1,1.18kHz,True,True,,True,4,,,False,6,,20,True,6,False,0:00.79,,True,,False,True,,True,0,16,,hybrid,,False,bfs,True,ce3ad48f,False,0,,7,5,False,AccelMain,False,True,0,,False,checkerboard,db,65536,930,0,0,,DRAMDoubleBuffer2_1,False,,mesh,False,100,False,0,32,True,eb1d1ef5,16,6,False,False,True,,200,,dor,True,2,7,27.526881720430108,,2,1,False,40,True,1,,False,200,False,True,0:38.87,1000000000,2,False,,route_min_directed_valient,"--dot=true, --stat=true, --debug=true, --vdot=true, --save=true, --mapping=true, --codegen=true, --net=hybrid, --tungsten, --psim=false, --row=20, --col=20, --spatial-home=/home/yaqiz/spatial, --fast=true",1.10108,4,1,True,,40,19.460154987,7.096774193548387,Tst,,True,0,True,4,True,False,False,0,2,,2020-01-30 19:39:24 -0800,True,False
True,route_min_directed_valient,14,True,False,,4,pirTest,14,,True,False,,True,H-hop,,,True,,1000000000.0,MyDesign,-i100 -p100 -t1 -d100,4,False,True,512,6,2.17872,False,20,False,True,1,0,True,,4,False,False,4,DDR4,dfs,,1,0.84kHz,True,True,,True,4,,,False,6,,20,True,6,False,0:00.56,,True,,False,True,,True,0,16,,hybrid,,False,bfs,True,ce3ad48f,False,0,,14,5,False,AccelMain,False,True,0,,False,checkerboard,db,65536,470,0,0,,DRAMDoubleBuffer2_2,False,,mesh,False,100,False,0,32,True,eb1d1ef5,16,6,False,False,True,,200,,dor,True,4,14,27.23404255319149,,4,1,False,40,True,1,,False,200,False,True,0:27.19,1000000000,4,False,,route_min_directed_valient,"--dot=true, --stat=true, --debug=true, --vdot=true, --save=true, --mapping=true, --codegen=true, --net=hybrid, --tungsten, --psim=false, --row=20, --col=20, --spatial-home=/home/yaqiz/spatial, --fast=true",2.17872,4,1,True,,40,31.03067693,7.898936170212766,Tst,,True,0,True,4,True,False,False,0,2,,2020-01-30 19:39:24 -0800,True,False
