VPCU-alloc,runhybrid_deadlock,simulate,VDAG,VBB-alloc,runhybrid_complete,psim,backend,VAFG-alloc,slink,nn,psim-q,MC_Total,mdone,OPS-Fix,net,module,rtelm,flit-width,genpir_err,runproute_time,dedicated-dag,pattern,DAG,bcread,igraph,proute-q,save,runp2p_pass,VPMU,vec,PMU_Total,spatial_sha,tokenout,split-thread,runhybrid_wbw,constprop,verbose,fifo-depth,dag-stage,PCU_Total,debug-tst,pmu-sram-size,reserve-pmu,PCU,runp2p_rbw,PMU,proute-opts,succeeded,runp2p_wbw,dupra,OPS-Prog FU,mapping,retime-buffer-only,runhybrid_time,run-tst,link-prop,topo,retime-local,VPCU,run-psim,split,row,pmu-stage,run-proute,dag,VMC-split,mergeTime_ms,time,runhybrid_dram_power,OPS-Other,argin,prtime,merge-algo,runhybrid_err,clock,pracc,arch,runhybrid_rbw,vfifo,VBB-split,merge-forward,ag-dce,retime-glob,runp2p_complete,runp2p_deadlock,VMC,mem-tech,split-algo,retime-exout,lrange,VPMU-alloc,routing-algo,maketst_time,gentst_time,runp2p_dram_power,proute-algo,simfreq,trace,tungsten,freq,gentst_err,fast,start-id,time-out,proute-seed,col,notFit,pirArgs,runhybrid_success,routing-cost,OPS-All,algo,VDAG-split,VAFG,vdot,runhybrid_pass,VPCU-split,split-forward,app,maketst_err,pir_sha,rundot,reserve-pcu,project,vlink,maxActive,codegen,debug,memelm,merge,VBB,vcLimit,runp2p_cycle,VDAG-alloc,word,vc,open,OPS-FU,genpir,name,runhybrid_cycle,VPMU-split,VMC-alloc,MC,pcu-stage,argout,runp2p_err,runp2p_time,load,runproute_err,OPS-Flt,dot,avgActive,runp2p_success,VAFG-split,scheduled,DAG_Total,sr,waveform,stat
4,False,False,0,,False,False,Tst,1,4,False,1,40,True,,hybrid,False,True,512,,,False,checkerboard,3,True,False,4,False,True,2,16,200,f502b36e,5,1,,True,False,16,6,200,False,65536,0,2,0.0,2,-i100 -p100 -t1 -d100,True,1.64103,False,,True,False,,False,db,mesh,False,4,False,True,20,6,False,True,1,,2020-01-28 20:48:36 -0800,,,6,,bfs,,1000000000,True,MyDesign,,4,,False,True,False,True,False,1,DDR4,dfs,False,True,2,dor,0:41.40,36.086565375,,route_min_directed_valient,0.16kHz,False,True,1000000000.0,,True,0,100,0,20,,"--dot=true, --stat=true, --debug=true, --vdot=true, --save=false, --mapping=true, --codegen=true, --net=hybrid, --tungsten, --psim=false, --row=20, --col=20, --spatial-home=/home/yaqiz/spatial_part, --fast=true",False,H-hop,,route_min_directed_valient,0,1,True,,4,False,BankEnable_0,,98195183,True,0,pirTest,2,41.02564102564103,True,True,False,False,,4,78,0,32,4,False,,True,AccelMain,,2,1,1,6,4,,0:00.49,False,,,True,14.003944773175544,True,1,False,40,True,True,True
13,False,False,0,,False,False,Tst,1,4,False,1,40,True,,hybrid,False,True,512,,,False,checkerboard,10,True,False,4,False,,6,16,200,f502b36e,5,1,,True,False,16,6,200,False,65536,0,15,0.0,6,-i100 -p100 -t1 -d100,True,0.955224,False,,True,False,,False,db,mesh,False,25,False,True,20,6,False,True,1,,2020-01-28 20:48:36 -0800,,,6,,bfs,,1000000000,True,MyDesign,,4,,False,True,False,True,False,1,DDR4,dfs,False,True,6,dor,3:20.88,73.365086012,,route_min_directed_valient,0.15kHz,False,True,1000000000.0,,True,0,100,0,20,,"--dot=true, --stat=true, --debug=true, --vdot=true, --save=false, --mapping=true, --codegen=true, --net=hybrid, --tungsten, --psim=false, --row=20, --col=20, --spatial-home=/home/yaqiz/spatial_part, --fast=true",False,H-hop,,route_min_directed_valient,0,1,True,,25,False,BankRange_0,,98195183,True,0,pirTest,2,11.940298507462687,True,True,False,False,,4,134,0,32,4,False,,True,AccelMain,,6,1,1,6,4,,0:00.91,False,,,True,10.058403634003893,True,1,False,40,True,True,True
10,False,False,0,,False,False,Tst,1,4,False,1,40,True,,hybrid,False,True,512,,,False,checkerboard,8,True,False,4,False,True,,16,200,f502b36e,5,1,,True,False,16,6,200,False,65536,0,32,29.817,1,-i100 -p100 -t1 -d100,True,4.96951,False,,True,False,,False,db,mesh,False,41,False,True,20,6,False,True,7,,2020-01-28 20:48:36 -0800,,,6,,bfs,,1000000000,True,MyDesign,,4,,False,True,False,True,False,7,DDR4,bfs,False,True,,dor,2:48.90,79.733581573,,route_min_directed_valient,1.7kHz,False,True,1000000000.0,,True,0,100,0,20,,"--dot=true, --stat=true, --debug=true, --vdot=true, --save=false, --split-algo=bfs, --mapping=true, --codegen=true, --net=hybrid, --tungsten, --psim=false, --row=20, --col=20, --spatial-home=/home/yaqiz/spatial_part, --fast=true",False,H-hop,,route_min_directed_valient,0,1,True,,41,False,BlackScholes_0,,98195183,True,0,pirTest,2,7.764855309428347,True,True,False,False,,4,105501,0,32,4,False,,True,AccelMain,,,7,7,6,4,,1:02.13,False,,,True,6.049408106569253,True,1,False,40,True,True,True
1,False,False,0,,False,False,Tst,1,4,False,1,40,True,,hybrid,False,True,512,,,False,checkerboard,0,True,False,4,False,True,,16,200,f502b36e,5,1,,True,False,16,6,200,False,65536,0,0,0.0,1,-i100 -p100 -t1 -d100,True,0.0,False,,True,False,,False,db,mesh,False,1,False,True,20,6,False,True,,,2020-01-28 20:48:36 -0800,,,6,,bfs,,1000000000,True,MyDesign,,4,,False,True,False,True,False,,DDR4,dfs,False,True,,dor,0:21.67,26.681758741,,route_min_directed_valient,0.08kHz,False,True,1000000000.0,,True,0,100,0,20,,"--dot=true, --stat=true, --debug=true, --vdot=true, --save=false, --mapping=true, --codegen=true, --net=hybrid, --tungsten, --psim=false, --row=20, --col=20, --spatial-home=/home/yaqiz/spatial_part, --fast=true",False,H-hop,,route_min_directed_valient,0,1,True,,1,False,BreakTest,,98195183,True,0,pirTest,2,13.793103448275861,True,True,False,False,,4,87,0,32,4,False,,True,AccelMain,,,,0,6,4,,0:01.08,False,,,True,5.363984674329502,True,1,False,40,True,True,True
2,False,False,0,,False,False,Tst,1,4,False,1,40,True,,hybrid,False,True,512,,,False,checkerboard,0,True,False,4,False,True,,16,200,f502b36e,5,1,,True,False,16,6,200,False,65536,0,0,0.0,2,-i100 -p100 -t1 -d100,True,0.0,False,,True,False,,False,db,mesh,False,2,False,True,20,6,False,True,,,2020-01-28 20:48:36 -0800,,,6,,bfs,,1000000000,True,MyDesign,,4,,False,True,False,True,False,,DDR4,dfs,False,True,,dor,0:10.52,8.133672527,,route_min_directed_valient,0.03kHz,False,True,1000000000.0,,True,0,100,0,20,,"--dot=true, --stat=true, --debug=true, --vdot=true, --save=false, --mapping=true, --codegen=true, --net=hybrid, --tungsten, --psim=false, --row=20, --col=20, --spatial-home=/home/yaqiz/spatial_part, --fast=true",False,H-hop,,route_min_directed_valient,0,1,True,,2,False,BreakTest2,,98195183,True,0,pirTest,2,43.47826086956522,True,True,False,False,,4,23,0,32,4,False,,True,AccelMain,,,,0,6,4,,0:00.89,False,,,True,23.91304347826087,True,1,False,40,True,True,True
6,False,False,0,,False,False,Tst,1,4,False,1,40,True,,hybrid,False,True,512,,,False,checkerboard,3,True,False,4,False,True,2,16,200,f502b36e,5,1,,True,False,16,6,200,False,65536,0,9,0.472325,2,-i100 -p100 -t1 -d100,True,15.1144,False,,True,False,,False,db,mesh,False,12,False,True,20,6,False,True,2,,2020-01-28 20:48:36 -0800,,,6,,bfs,,1000000000,True,MyDesign,,4,,False,True,False,True,False,2,DDR4,dfs,False,True,2,dor,1:34.39,94.625997248,,route_min_directed_valient,0.15kHz,False,True,1000000000.0,,True,0,100,0,20,,"--dot=true, --stat=true, --debug=true, --vdot=true, --save=false, --mapping=true, --codegen=true, --net=hybrid, --tungsten, --psim=false, --row=20, --col=20, --spatial-home=/home/yaqiz/spatial_part, --fast=true",False,H-hop,,route_min_directed_valient,0,1,True,,12,False,BroadcastTest,,98195183,True,0,pirTest,2,47.23247232472325,True,True,False,False,,4,271,0,32,4,False,,True,AccelMain,,2,2,2,6,4,,0:01.77,False,,,True,20.647433747064742,True,1,False,40,True,True,True
4,False,False,0,,False,False,Tst,1,4,False,1,40,True,,hybrid,False,True,512,,,False,checkerboard,0,True,False,4,False,True,1,16,200,f502b36e,5,1,,True,False,16,6,200,False,65536,0,5,0.460432,1,-i100 -p100 -t1 -d100,True,1.38129,False,,True,False,,False,db,mesh,False,5,False,True,20,6,False,True,1,,2020-01-28 20:48:36 -0800,,,6,,bfs,,1000000000,True,MyDesign,,4,,False,True,False,True,False,1,DDR4,dfs,False,True,1,dor,0:28.87,42.994314536,,route_min_directed_valient,0.19kHz,False,True,1000000000.0,,True,0,100,0,20,,"--dot=true, --stat=true, --debug=true, --vdot=true, --save=false, --mapping=true, --codegen=true, --net=hybrid, --tungsten, --psim=false, --row=20, --col=20, --spatial-home=/home/yaqiz/spatial_part, --fast=true",False,H-hop,,route_min_directed_valient,0,1,True,,5,False,CountZero_0,,98195183,True,0,pirTest,2,34.53237410071942,True,True,False,False,,4,139,0,32,4,False,,True,AccelMain,,1,1,1,6,4,,0:00.73,False,,,True,21.71353826030085,True,1,False,40,True,True,True
7,False,False,0,,False,False,Tst,1,4,False,1,40,True,,hybrid,False,True,512,,,False,checkerboard,0,True,False,4,False,True,,16,200,f502b36e,5,1,,True,False,16,6,200,False,65536,0,0,1.10108,7,-i100 -p100 -t1 -d100,True,1.10108,False,,True,False,,False,db,mesh,False,7,False,True,20,6,False,True,2,,2020-01-28 20:48:36 -0800,,,6,,bfs,,1000000000,True,MyDesign,,4,,False,True,False,True,False,2,DDR4,dfs,False,True,,dor,0:36.22,33.857834739,,route_min_directed_valient,1.19kHz,False,True,1000000000.0,,True,0,100,0,20,,"--dot=true, --stat=true, --debug=true, --vdot=true, --save=false, --mapping=true, --codegen=true, --net=hybrid, --tungsten, --psim=false, --row=20, --col=20, --spatial-home=/home/yaqiz/spatial_part, --fast=true",False,H-hop,,route_min_directed_valient,0,1,True,,7,False,DRAMDoubleBuffer2_0,,98195183,True,0,pirTest,2,27.526881720430108,True,True,False,False,,4,930,0,32,4,False,,True,AccelMain,,,2,2,6,4,,0:00.78,False,,,True,7.096774193548387,True,1,False,40,True,True,True
7,False,False,0,,False,False,Tst,1,4,False,1,40,True,,hybrid,False,True,512,,,False,checkerboard,0,True,False,4,False,True,,16,200,f502b36e,5,1,,True,False,16,6,200,False,65536,0,0,1.10108,7,-i100 -p100 -t1 -d100,True,1.10108,False,,True,False,,False,db,mesh,False,7,False,True,20,6,False,True,2,,2020-01-28 20:48:36 -0800,,,6,,bfs,,1000000000,True,MyDesign,,4,,False,True,False,True,False,2,DDR4,dfs,False,True,,dor,0:35.01,48.966254142,,route_min_directed_valient,0.99kHz,False,True,1000000000.0,,True,0,100,0,20,,"--dot=true, --stat=true, --debug=true, --vdot=true, --save=false, --mapping=true, --codegen=true, --net=hybrid, --tungsten, --psim=false, --row=20, --col=20, --spatial-home=/home/yaqiz/spatial_part, --fast=true",False,H-hop,,route_min_directed_valient,0,1,True,,7,False,DRAMDoubleBuffer2_1,,98195183,True,0,pirTest,2,27.526881720430108,True,True,False,False,,4,930,0,32,4,False,,True,AccelMain,,,2,2,6,4,,0:00.94,False,,,True,7.096774193548387,True,1,False,40,True,True,True
14,False,False,0,,False,False,Tst,1,4,False,1,40,True,,hybrid,False,True,512,,,False,checkerboard,0,True,False,4,False,True,,16,200,f502b36e,5,1,,True,False,16,6,200,False,65536,0,0,2.17872,14,-i100 -p100 -t1 -d100,True,2.17872,False,,True,False,,False,db,mesh,False,14,False,True,20,6,False,True,4,,2020-01-28 20:48:36 -0800,,,6,,bfs,,1000000000,True,MyDesign,,4,,False,True,False,True,False,4,DDR4,dfs,False,True,,dor,1:11.42,53.833364981,,route_min_directed_valient,0.63kHz,False,True,1000000000.0,,True,0,100,0,20,,"--dot=true, --stat=true, --debug=true, --vdot=true, --save=false, --mapping=true, --codegen=true, --net=hybrid, --tungsten, --psim=false, --row=20, --col=20, --spatial-home=/home/yaqiz/spatial_part, --fast=true",False,H-hop,,route_min_directed_valient,0,1,True,,14,False,DRAMDoubleBuffer2_2,,98195183,True,0,pirTest,2,27.23404255319149,True,True,False,False,,4,470,0,32,4,False,,True,AccelMain,,,4,4,6,4,,0:00.75,False,,,True,7.898936170212766,True,1,False,40,True,True,True
