runhybrid_wbw,vc,vlink,verbose,fifo-depth,mdone,retime-glob,nn,VDAG-split,codegen,pir_sha,runp2p_cycle,runhybrid_err,ag-dce,split-algo,VAFG-alloc,runhybrid_rbw,retime-exout,runp2p_deadlock,OPS-Fix,runhybrid_pass,runhybrid_deadlock,VBB-alloc,lrange,proute-seed,routing-cost,project,runp2p_err,MC,dag,sr,debug-print,vec,VPMU-split,debug,VBB,runhybrid_cycle,trace,proute-opts,genpir,gentst_time,DAG_Total,PMU_Total,col,start-id,runp2p_rbw,app,run-tst,maketst_time,spatial_sha,psim,MC_Total,pcu-stage,fast,time,VMC-alloc,tungsten,stat,DAG,runhybrid_complete,pirArgs,pattern,OPS-FU,open,proute-q,rtelm,runproute_time,PCU,dot,split-thread,avgActive,argout,tokenout,merge,retime-buffer-only,freq,maxActive,pmu-stage,PCU_Total,runp2p_wbw,split,time-out,runp2p_success,merge-algo,mapping,simulate,net,mergeTime_ms,VMC-split,mem-tech,clock,reserve-pcu,runhybrid_success,algo,vdot,flit-width,link-prop,PMU,bcread,arch,VPMU,notFit,row,dupra,runp2p_complete,VPCU-split,retime-local,scheduled,name,maketst_err,OPS-Other,prtime,run-psim,VMC,VPCU,pracc,routing-algo,simfreq,rundot,load,VPCU-alloc,constprop,runp2p_pass,OPS-All,vfifo,argin,VBB-split,slink,word,VDAG-alloc,runp2p_time,runp2p_dram_power,proute-algo,split-forward,dag-stage,succeeded,merge-forward,psim-q,run-proute,save,OPS-Flt,backend,pmu-sram-size,waveform,VAFG,VPMU-alloc,VAFG-split,runproute_err,igraph,gentst_err,memelm,runhybrid_dram_power,reserve-pmu,runhybrid_time,OPS-Prog FU,module,dedicated-dag,genpir_err,vcLimit,topo,VDAG
,4,2,False,16,True,False,False,0,True,b2353561,78,,True,dfs,1,,False,False,,,False,,True,0,H-hop,pirTest,,1,True,True,True,16,2,True,,,False,-i100 -p100 -t1 -d100,True,49.415941714,40,200,20,0,0.0,BankEnable_0,False,0:41.36,d860f9fb,False,40,6,True,2020-03-04 18:04:53 -0800,1,True,True,3,False,"--dot=true, --stat=true, --debug=true, --vdot=true, --save=true, --mapping=true, --codegen=true, --net=hybrid, --tungsten, --psim=false, --row=20, --col=20, --spatial-home=/home/yaqiz/fluorine/spatial, --fast=true",checkerboard,,False,4,True,,2,True,1,14.003944773175544,4,5,False,False,1000000000.0,41.02564102564103,6,200,1.64103,True,100,True,bfs,True,False,hybrid,,1,DDR4,1000000000,0,False,route_min_directed_valient,True,512,db,2,True,MyDesign,2,,20,False,True,4,False,False,AccelMain,,,,False,1,4,True,dor,0.08kHz,True,False,4,True,True,,4,6,,4,32,0,0:00.98,,route_min_directed_valient,False,6,True,False,1,False,True,,Tst,65536,True,1,2,1,,False,,False,,0,,,False,False,,4,mesh,0
,4,2,False,16,True,False,False,0,True,b2353561,134,,True,dfs,1,,False,False,,,False,,True,0,H-hop,pirTest,,1,True,True,True,16,6,True,,,False,-i100 -p100 -t1 -d100,True,99.33863143,40,200,20,0,0.0,BankRange_0,False,1:52.74,d860f9fb,False,40,6,True,2020-03-04 18:04:53 -0800,1,True,True,10,False,"--dot=true, --stat=true, --debug=true, --vdot=true, --save=true, --mapping=true, --codegen=true, --net=hybrid, --tungsten, --psim=false, --row=20, --col=20, --spatial-home=/home/yaqiz/fluorine/spatial, --fast=true",checkerboard,,False,4,True,,15,True,1,10.058403634003893,4,5,False,False,1000000000.0,11.940298507462687,6,200,0.955224,True,100,True,bfs,True,False,hybrid,,1,DDR4,1000000000,0,False,route_min_directed_valient,True,512,db,6,True,MyDesign,6,,20,False,True,25,False,False,AccelMain,,,,False,1,25,True,dor,0.1kHz,True,False,13,True,,,4,6,,4,32,0,0:01.35,,route_min_directed_valient,False,6,True,False,1,False,True,,Tst,65536,True,1,6,1,,False,,False,,0,,,False,False,,4,mesh,0
,4,2,False,16,True,False,False,0,True,b2353561,105498,,True,bfs,1,,False,False,,,False,,True,0,H-hop,pirTest,,7,True,True,True,16,,True,,,False,-i100 -p100 -t1 -d100,True,123.95053353,40,200,20,0,29.8179,BlackScholes_0,False,4:07.96,d860f9fb,False,40,6,True,2020-03-04 18:04:53 -0800,7,True,True,8,False,"--dot=true, --stat=true, --debug=true, --vdot=true, --save=true, --split-algo=bfs, --mapping=true, --codegen=true, --net=hybrid, --tungsten, --psim=false, --row=20, --col=20, --spatial-home=/home/yaqiz/fluorine/spatial, --fast=true",checkerboard,,False,4,True,,32,True,1,6.049580130913977,4,5,False,False,1000000000.0,7.765076115187018,6,200,4.96965,True,100,True,bfs,True,False,hybrid,,7,DDR4,1000000000,0,False,route_min_directed_valient,True,512,db,1,True,MyDesign,,,20,False,True,41,False,False,AccelMain,,,,False,7,41,True,dor,0.46kHz,True,False,10,True,True,,4,6,,4,32,0,3:50.31,,route_min_directed_valient,False,6,True,False,1,False,True,,Tst,65536,True,1,,1,,False,,False,,0,,,False,False,,4,mesh,0
,4,2,False,16,True,False,False,0,True,b2353561,87,,True,dfs,1,,False,False,,,False,,True,0,H-hop,pirTest,,0,True,True,True,16,,True,,,False,-i100 -p100 -t1 -d100,True,24.680883501,40,200,20,0,0.0,BreakTest,False,0:18.64,d860f9fb,False,40,6,True,2020-03-04 18:04:53 -0800,,True,True,0,False,"--dot=true, --stat=true, --debug=true, --vdot=true, --save=true, --mapping=true, --codegen=true, --net=hybrid, --tungsten, --psim=false, --row=20, --col=20, --spatial-home=/home/yaqiz/fluorine/spatial, --fast=true",checkerboard,,False,4,True,,0,True,1,5.363984674329502,4,5,False,False,1000000000.0,13.793103448275861,6,200,0.0,True,100,True,bfs,True,False,hybrid,,,DDR4,1000000000,0,False,route_min_directed_valient,True,512,db,1,True,MyDesign,,,20,False,True,1,False,False,AccelMain,,,,False,,1,True,dor,0.08kHz,True,False,1,True,True,,4,6,,4,32,0,0:01.12,,route_min_directed_valient,False,6,True,False,1,False,True,,Tst,65536,True,1,,1,,False,,False,,0,,,False,False,,4,mesh,0
,4,2,False,16,True,False,False,0,True,b2353561,23,,True,dfs,1,,False,False,,,False,,True,0,H-hop,pirTest,,0,True,True,True,16,,True,,,False,-i100 -p100 -t1 -d100,True,24.423086841,40,200,20,0,0.0,BreakTest2,False,0:20.53,d860f9fb,False,40,6,True,2020-03-04 18:04:53 -0800,,True,True,0,False,"--dot=true, --stat=true, --debug=true, --vdot=true, --save=true, --mapping=true, --codegen=true, --net=hybrid, --tungsten, --psim=false, --row=20, --col=20, --spatial-home=/home/yaqiz/fluorine/spatial, --fast=true",checkerboard,,False,4,True,,0,True,1,23.91304347826087,4,5,False,False,1000000000.0,43.47826086956522,6,200,0.0,True,100,True,bfs,True,False,hybrid,,,DDR4,1000000000,0,False,route_min_directed_valient,True,512,db,2,True,MyDesign,,,20,False,True,2,False,False,AccelMain,,,,False,,2,True,dor,0.01kHz,True,False,2,True,True,,4,6,,4,32,0,0:01.96,,route_min_directed_valient,False,6,True,False,1,False,True,,Tst,65536,True,1,,1,,False,,False,,0,,,False,False,,4,mesh,0
,4,2,False,16,True,False,False,0,True,b2353561,271,,True,dfs,1,,False,False,,,False,,True,0,H-hop,pirTest,,2,True,True,True,16,2,True,,,False,-i100 -p100 -t1 -d100,True,59.316399746,40,200,20,0,0.472325,BroadcastTest,False,2:04.98,d860f9fb,False,40,6,True,2020-03-04 18:04:53 -0800,2,True,True,3,False,"--dot=true, --stat=true, --debug=true, --vdot=true, --save=true, --mapping=true, --codegen=true, --net=hybrid, --tungsten, --psim=false, --row=20, --col=20, --spatial-home=/home/yaqiz/fluorine/spatial, --fast=true",checkerboard,,False,4,True,,9,True,1,20.647433747064742,4,5,False,False,1000000000.0,47.23247232472325,6,200,15.1144,True,100,True,bfs,True,False,hybrid,,2,DDR4,1000000000,0,False,route_min_directed_valient,True,512,db,2,True,MyDesign,2,,20,False,True,12,False,False,AccelMain,,,,False,2,12,True,dor,0.15kHz,True,False,6,True,True,,4,6,,4,32,0,0:01.76,,route_min_directed_valient,False,6,True,False,1,False,True,,Tst,65536,True,1,2,1,,False,,False,,0,,,False,False,,4,mesh,0
,4,2,False,16,True,False,False,0,True,b2353561,139,,True,dfs,1,,False,False,,,False,,True,0,H-hop,pirTest,,1,True,True,True,16,1,True,,,False,-i100 -p100 -t1 -d100,True,41.346397807,40,200,20,0,0.460432,CountZero_0,False,0:24.47,d860f9fb,False,40,6,True,2020-03-04 18:04:53 -0800,1,True,True,0,False,"--dot=true, --stat=true, --debug=true, --vdot=true, --save=true, --mapping=true, --codegen=true, --net=hybrid, --tungsten, --psim=false, --row=20, --col=20, --spatial-home=/home/yaqiz/fluorine/spatial, --fast=true",checkerboard,,False,4,True,,5,True,1,21.71353826030085,4,5,False,False,1000000000.0,34.53237410071942,6,200,1.38129,True,100,True,bfs,True,False,hybrid,,1,DDR4,1000000000,0,False,route_min_directed_valient,True,512,db,1,True,MyDesign,1,,20,False,True,5,False,False,AccelMain,,,,False,1,5,True,dor,0.17kHz,True,False,4,True,True,,4,6,,4,32,0,0:00.83,,route_min_directed_valient,False,6,True,False,1,False,True,,Tst,65536,True,1,1,1,,False,,False,,0,,,False,False,,4,mesh,0
,4,2,False,16,True,False,False,0,True,b2353561,930,,True,dfs,1,,False,False,,,False,,True,0,H-hop,pirTest,,2,True,True,True,16,,True,,,False,-i100 -p100 -t1 -d100,True,27.650830606,40,200,20,0,1.10108,DRAMDoubleBuffer2_0,False,0:36.47,d860f9fb,False,40,6,True,2020-03-04 18:04:53 -0800,2,True,True,0,False,"--dot=true, --stat=true, --debug=true, --vdot=true, --save=true, --mapping=true, --codegen=true, --net=hybrid, --tungsten, --psim=false, --row=20, --col=20, --spatial-home=/home/yaqiz/fluorine/spatial, --fast=true",checkerboard,,False,4,True,,0,True,1,7.096774193548387,4,5,False,False,1000000000.0,27.526881720430108,6,200,1.10108,True,100,True,bfs,True,False,hybrid,,2,DDR4,1000000000,0,False,route_min_directed_valient,True,512,db,7,True,MyDesign,,,20,False,True,7,False,False,AccelMain,,,,False,2,7,True,dor,0.45kHz,True,False,7,True,True,,4,6,,4,32,0,0:02.07,,route_min_directed_valient,False,6,True,False,1,False,True,,Tst,65536,True,1,,1,,False,,False,,0,,,False,False,,4,mesh,0
,4,2,False,16,True,False,False,0,True,b2353561,930,,True,dfs,1,,False,False,,,False,,True,0,H-hop,pirTest,,2,True,True,True,16,,True,,,False,-i100 -p100 -t1 -d100,True,36.396996926,40,200,20,0,1.10108,DRAMDoubleBuffer2_1,False,0:39.39,d860f9fb,False,40,6,True,2020-03-04 18:04:53 -0800,2,True,True,0,False,"--dot=true, --stat=true, --debug=true, --vdot=true, --save=true, --mapping=true, --codegen=true, --net=hybrid, --tungsten, --psim=false, --row=20, --col=20, --spatial-home=/home/yaqiz/fluorine/spatial, --fast=true",checkerboard,,False,4,True,,0,True,1,7.096774193548387,4,5,False,False,1000000000.0,27.526881720430108,6,200,1.10108,True,100,True,bfs,True,False,hybrid,,2,DDR4,1000000000,0,False,route_min_directed_valient,True,512,db,7,True,MyDesign,,,20,False,True,7,False,False,AccelMain,,,,False,2,7,True,dor,0.52kHz,True,False,7,True,True,,4,6,,4,32,0,0:01.78,,route_min_directed_valient,False,6,True,False,1,False,True,,Tst,65536,True,1,,1,,False,,False,,0,,,False,False,,4,mesh,0
,4,2,False,16,True,False,False,0,True,b2353561,470,,True,dfs,1,,False,False,,,False,,True,0,H-hop,pirTest,,4,True,True,True,16,,True,,,False,-i100 -p100 -t1 -d100,True,61.347368055,40,200,20,0,2.17872,DRAMDoubleBuffer2_2,False,1:15.59,d860f9fb,False,40,6,True,2020-03-04 18:04:53 -0800,4,True,True,0,False,"--dot=true, --stat=true, --debug=true, --vdot=true, --save=true, --mapping=true, --codegen=true, --net=hybrid, --tungsten, --psim=false, --row=20, --col=20, --spatial-home=/home/yaqiz/fluorine/spatial, --fast=true",checkerboard,,False,4,True,,0,True,1,7.898936170212766,4,5,False,False,1000000000.0,27.23404255319149,6,200,2.17872,True,100,True,bfs,True,False,hybrid,,4,DDR4,1000000000,0,False,route_min_directed_valient,True,512,db,14,True,MyDesign,,,20,False,True,14,False,False,AccelMain,,,,False,4,14,True,dor,0.21kHz,True,False,14,True,True,,4,6,,4,32,0,0:02.22,,route_min_directed_valient,False,6,True,False,1,False,True,,Tst,65536,True,1,,1,,False,,False,,0,,,False,False,,4,mesh,0
