VPCU,run-tst,OPS-Prog FU,OPS-Fix,constprop,split,module,memelm,runp2p_rbw,lrange,prtime,app,rtelm,maxActive,vec,VAFG-split,runp2p_pass,link-prop,VPMU,ag-dce,proute-opts,genpir_err,VAFG-alloc,VMC-split,net,maketst_err,word,vdot,clock,OPS-FU,slink,spatial_sha,routing-cost,OPS-Flt,split-thread,pir_sha,debug-print,DAG_Total,runproute_err,routing-algo,simfreq,pmu-sram-size,start-id,sr,argout,dupra,VAFG,scheduled,VPCU-alloc,VDAG-split,proute-algo,codegen,nn,vfifo,split-forward,OPS-All,psim,VDAG-alloc,rundot,avgActive,runhybrid_pass,runhybrid_err,runp2p_complete,retime-buffer-only,col,runhybrid_wbw,bcread,freq,runproute_time,MC,pirArgs,tungsten,VPMU-split,merge-algo,name,vlink,gentst_err,backend,runp2p_err,VMC,waveform,mapping,VPMU-alloc,reserve-pmu,genpir,DAG,topo,dag,arch,runp2p_success,maketst_time,debug,split-algo,runhybrid_cycle,pattern,reserve-pcu,tokenout,open,runp2p_time,simulate,igraph,project,PMU,verbose,argin,time-out,proute-q,fast,merge,runp2p_deadlock,vc,time,algo,row,notFit,fifo-depth,runhybrid_success,VPCU-split,runhybrid_rbw,retime-exout,flit-width,trace,pmu-stage,runhybrid_deadlock,runhybrid_time,stat,mdone,load,runp2p_cycle,gentst_time,merge-forward,retime-glob,vcLimit,save,MC_Total,mem-tech,run-psim,runhybrid_complete,psim-q,dag-stage,PCU_Total,VDAG,proute-seed,runp2p_wbw,VMC-alloc,pracc,mergeTime_ms,runhybrid_dram_power,dedicated-dag,dot,succeeded,runp2p_dram_power,OPS-Other,retime-local,run-proute,PMU_Total,PCU,pcu-stage
4,False,,,True,True,False,False,0.0,True,,BankEnable_0,True,41.02564102564103,16,1,True,db,2,True,-i100 -p100 -t1 -d100,,1,1,hybrid,,32,True,1000000000,,4,8fb691b5,H-hop,,1,006c4482,True,40,,dor,0.05kHz,65536,0,True,4,False,1,False,4,0,route_min_directed_valient,True,False,4,False,,False,0,True,14.003944773175544,,,True,False,20,,True,1000000000.0,,1,"--dot=true, --stat=true, --debug=true, --vdot=true, --save=true, --mapping=true, --codegen=true, --net=hybrid, --tungsten, --psim=false, --row=20, --col=20, --spatial-home=/home/yaqiz/spatial_sparse, --fast=true",True,2,bfs,AccelMain,2,,Tst,,1,True,True,2,0,True,3,mesh,True,MyDesign,True,0:29.06,True,dfs,,checkerboard,0,5,False,0:01.72,False,False,pirTest,2,False,6,100,4,True,False,False,4,2020-02-14 00:33:52 -0800,route_min_directed_valient,20,,16,False,4,,False,512,False,6,False,,True,True,False,78,16.16432963,False,False,4,True,40,DDR4,False,False,1,6,200,0,0,1.64103,1,True,,,False,True,True,,,False,False,200,2,6
25,False,,,True,True,False,False,0.0,True,,BankRange_0,True,11.940298507462687,16,1,,db,6,True,-i100 -p100 -t1 -d100,,1,1,hybrid,,32,True,1000000000,,4,8fb691b5,H-hop,,1,006c4482,True,40,,dor,0.05kHz,65536,0,True,4,False,1,False,13,0,route_min_directed_valient,True,False,4,False,,False,0,True,10.058403634003893,,,True,False,20,,True,1000000000.0,,1,"--dot=true, --stat=true, --debug=true, --vdot=true, --save=true, --mapping=true, --codegen=true, --net=hybrid, --tungsten, --psim=false, --row=20, --col=20, --spatial-home=/home/yaqiz/spatial_sparse, --fast=true",True,6,bfs,AccelMain,2,,Tst,,1,True,True,6,0,True,10,mesh,True,MyDesign,True,2:43.38,True,dfs,,checkerboard,0,5,False,0:02.61,False,False,pirTest,6,False,6,100,4,True,False,False,4,2020-02-14 00:33:52 -0800,route_min_directed_valient,20,,16,False,25,,False,512,False,6,False,,True,True,False,134,63.765596738,False,False,4,True,40,DDR4,False,False,1,6,200,0,0,0.955224,1,True,,,False,True,True,,,False,False,200,15,6
42,False,,,True,True,False,False,27.7602,True,,BlackScholes_0,True,7.229213364161033,16,1,True,db,,True,-i100 -p100 -t1 -d100,,1,7,hybrid,,32,True,1000000000,,4,8fb691b5,H-hop,,1,006c4482,True,40,,dor,1.33kHz,65536,0,True,4,False,1,False,10,0,route_min_directed_valient,True,False,4,False,,False,0,True,5.668400591096015,,,True,False,20,,True,1000000000.0,,7,"--dot=true, --stat=true, --debug=true, --vdot=true, --save=true, --split-algo=bfs, --mapping=true, --codegen=true, --net=hybrid, --tungsten, --psim=false, --row=20, --col=20, --spatial-home=/home/yaqiz/spatial_sparse, --fast=true",True,,bfs,AccelMain,2,,Tst,,7,True,True,,0,True,8,mesh,True,MyDesign,True,2:26.23,True,bfs,,checkerboard,0,5,False,1:25.07,False,False,pirTest,1,False,6,100,4,True,False,False,4,2020-02-14 00:33:52 -0800,route_min_directed_valient,20,,16,False,42,,False,512,False,6,False,,True,True,False,113318,77.415578115,False,False,4,True,40,DDR4,False,False,1,6,200,0,0,4.6267,7,True,,,False,True,True,,,False,False,200,33,6
1,False,,,True,True,False,False,0.0,True,,BreakTest,True,13.793103448275861,16,1,True,db,,True,-i100 -p100 -t1 -d100,,1,,hybrid,,32,True,1000000000,,4,8fb691b5,H-hop,,1,006c4482,True,40,,dor,0.12kHz,65536,0,True,4,False,1,False,1,0,route_min_directed_valient,True,False,4,False,,False,0,True,5.363984674329502,,,True,False,20,,True,1000000000.0,,0,"--dot=true, --stat=true, --debug=true, --vdot=true, --save=true, --mapping=true, --codegen=true, --net=hybrid, --tungsten, --psim=false, --row=20, --col=20, --spatial-home=/home/yaqiz/spatial_sparse, --fast=true",True,,bfs,AccelMain,2,,Tst,,,True,True,,0,True,0,mesh,True,MyDesign,True,0:12.62,True,dfs,,checkerboard,0,5,False,0:00.73,False,False,pirTest,1,False,6,100,4,True,False,False,4,2020-02-14 00:33:52 -0800,route_min_directed_valient,20,,16,False,1,,False,512,False,6,False,,True,True,False,87,11.546318344,False,False,4,True,40,DDR4,False,False,1,6,200,0,0,0.0,,True,,,False,True,True,,,False,False,200,0,6
2,False,,,True,True,False,False,0.0,True,,BreakTest2,True,43.47826086956522,16,1,True,db,,True,-i100 -p100 -t1 -d100,,1,,hybrid,,32,True,1000000000,,4,8fb691b5,H-hop,,1,006c4482,True,40,,dor,0.03kHz,65536,0,True,4,False,1,False,2,0,route_min_directed_valient,True,False,4,False,,False,0,True,23.91304347826087,,,True,False,20,,True,1000000000.0,,0,"--dot=true, --stat=true, --debug=true, --vdot=true, --save=true, --mapping=true, --codegen=true, --net=hybrid, --tungsten, --psim=false, --row=20, --col=20, --spatial-home=/home/yaqiz/spatial_sparse, --fast=true",True,,bfs,AccelMain,2,,Tst,,,True,True,,0,True,0,mesh,True,MyDesign,True,0:08.69,True,dfs,,checkerboard,0,5,False,0:00.72,False,False,pirTest,2,False,6,100,4,True,False,False,4,2020-02-14 00:33:52 -0800,route_min_directed_valient,20,,16,False,2,,False,512,False,6,False,,True,True,False,23,12.375293169,False,False,4,True,40,DDR4,False,False,1,6,200,0,0,0.0,,True,,,False,True,True,,,False,False,200,0,6
12,False,,,True,True,False,False,0.472325,True,,BroadcastTest,True,47.23247232472325,16,1,True,db,2,True,-i100 -p100 -t1 -d100,,1,2,hybrid,,32,True,1000000000,,4,8fb691b5,H-hop,,1,006c4482,True,40,,dor,0.38kHz,65536,0,True,4,False,1,False,6,0,route_min_directed_valient,True,False,4,False,,False,0,True,20.647433747064742,,,True,False,20,,True,1000000000.0,,2,"--dot=true, --stat=true, --debug=true, --vdot=true, --save=true, --mapping=true, --codegen=true, --net=hybrid, --tungsten, --psim=false, --row=20, --col=20, --spatial-home=/home/yaqiz/spatial_sparse, --fast=true",True,2,bfs,AccelMain,2,,Tst,,2,True,True,2,0,True,3,mesh,True,MyDesign,True,0:34.02,True,dfs,,checkerboard,0,5,False,0:00.71,False,False,pirTest,2,False,6,100,4,True,False,False,4,2020-02-14 00:33:52 -0800,route_min_directed_valient,20,,16,False,12,,False,512,False,6,False,,True,True,False,271,29.389558215,False,False,4,True,40,DDR4,False,False,1,6,200,0,0,15.1144,2,True,,,False,True,True,,,False,False,200,9,6
5,False,,,True,True,False,False,0.460432,True,,CountZero_0,True,34.53237410071942,16,1,True,db,1,True,-i100 -p100 -t1 -d100,,1,1,hybrid,,32,True,1000000000,,4,8fb691b5,H-hop,,1,006c4482,True,40,,dor,0.14kHz,65536,0,True,4,False,1,False,4,0,route_min_directed_valient,True,False,4,False,,False,0,True,21.71353826030085,,,True,False,20,,True,1000000000.0,,1,"--dot=true, --stat=true, --debug=true, --vdot=true, --save=true, --mapping=true, --codegen=true, --net=hybrid, --tungsten, --psim=false, --row=20, --col=20, --spatial-home=/home/yaqiz/spatial_sparse, --fast=true",True,1,bfs,AccelMain,2,,Tst,,1,True,True,1,0,True,0,mesh,True,MyDesign,True,0:48.98,True,dfs,,checkerboard,0,5,False,0:01.02,False,False,pirTest,1,False,6,100,4,True,False,False,4,2020-02-14 00:33:52 -0800,route_min_directed_valient,20,,16,False,5,,False,512,False,6,False,,True,True,False,139,23.838368608,False,False,4,True,40,DDR4,False,False,1,6,200,0,0,1.38129,1,True,,,False,True,True,,,False,False,200,5,6
7,False,,,True,True,False,False,1.10108,True,,DRAMDoubleBuffer2_0,True,27.526881720430108,16,1,True,db,,True,-i100 -p100 -t1 -d100,,1,2,hybrid,,32,True,1000000000,,4,8fb691b5,H-hop,,1,006c4482,True,40,,dor,0.49kHz,65536,0,True,4,False,1,False,7,0,route_min_directed_valient,True,False,4,False,,False,0,True,7.096774193548387,,,True,False,20,,True,1000000000.0,,2,"--dot=true, --stat=true, --debug=true, --vdot=true, --save=true, --mapping=true, --codegen=true, --net=hybrid, --tungsten, --psim=false, --row=20, --col=20, --spatial-home=/home/yaqiz/spatial_sparse, --fast=true",True,,bfs,AccelMain,2,,Tst,,2,True,True,,0,True,0,mesh,True,MyDesign,True,0:38.66,True,dfs,,checkerboard,0,5,False,0:01.88,False,False,pirTest,7,False,6,100,4,True,False,False,4,2020-02-14 00:33:52 -0800,route_min_directed_valient,20,,16,False,7,,False,512,False,6,False,,True,True,False,930,41.768331608,False,False,4,True,40,DDR4,False,False,1,6,200,0,0,1.10108,2,True,,,False,True,True,,,False,False,200,0,6
7,False,,,True,True,False,False,1.10108,True,,DRAMDoubleBuffer2_1,True,27.526881720430108,16,1,True,db,,True,-i100 -p100 -t1 -d100,,1,2,hybrid,,32,True,1000000000,,4,8fb691b5,H-hop,,1,006c4482,True,40,,dor,1.29kHz,65536,0,True,4,False,1,False,7,0,route_min_directed_valient,True,False,4,False,,False,0,True,7.096774193548387,,,True,False,20,,True,1000000000.0,,2,"--dot=true, --stat=true, --debug=true, --vdot=true, --save=true, --mapping=true, --codegen=true, --net=hybrid, --tungsten, --psim=false, --row=20, --col=20, --spatial-home=/home/yaqiz/spatial_sparse, --fast=true",True,,bfs,AccelMain,2,,Tst,,2,True,True,,0,True,0,mesh,True,MyDesign,True,0:36.58,True,dfs,,checkerboard,0,5,False,0:00.72,False,False,pirTest,7,False,6,100,4,True,False,False,4,2020-02-14 00:33:52 -0800,route_min_directed_valient,20,,16,False,7,,False,512,False,6,False,,True,True,False,930,23.339895968,False,False,4,True,40,DDR4,False,False,1,6,200,0,0,1.10108,2,True,,,False,True,True,,,False,False,200,0,6
14,False,,,True,True,False,False,2.17872,True,,DRAMDoubleBuffer2_2,True,27.23404255319149,16,1,True,db,,True,-i100 -p100 -t1 -d100,,1,4,hybrid,,32,True,1000000000,,4,8fb691b5,H-hop,,1,006c4482,True,40,,dor,0.26kHz,65536,0,True,4,False,1,False,14,0,route_min_directed_valient,True,False,4,False,,False,0,True,7.898936170212766,,,True,False,20,,True,1000000000.0,,4,"--dot=true, --stat=true, --debug=true, --vdot=true, --save=true, --mapping=true, --codegen=true, --net=hybrid, --tungsten, --psim=false, --row=20, --col=20, --spatial-home=/home/yaqiz/spatial_sparse, --fast=true",True,,bfs,AccelMain,2,,Tst,,4,True,True,,0,True,0,mesh,True,MyDesign,True,0:32.63,True,dfs,,checkerboard,0,5,False,0:01.78,False,False,pirTest,14,False,6,100,4,True,False,False,4,2020-02-14 00:33:52 -0800,route_min_directed_valient,20,,16,False,14,,False,512,False,6,False,,True,True,False,470,19.457664098,False,False,4,True,40,DDR4,False,False,1,6,200,0,0,2.17872,4,True,,,False,True,True,,,False,False,200,0,6
