VPMU-split,succeeded,PMU_Total,dupra,reserve-pcu,waveform,fast,retime-local,start-id,proute-algo,rtelm-unsafe,VMC-alloc,gentst_err,simfreq,runproute_time,VAFG-split,genpir_err,mergeTime_ms,run-psim,tokenout,mem-tech,stat,pcu-stage,split,psim-q,retime-glob,runp2p_time,VBB,link-prop,pmu-sram-size,VPCU-alloc,rtelm,run-tst,simulate,dag,runhybrid_pass,vdot,PMU,runproute_err,dag-stage,vlink,pattern,igraph,runp2p_dram_power,VAFG,ag-dce,runhybrid_cycle,scheduled,split-algo,topo,runhybrid_err,runp2p_pass,runp2p_wbw,VBB-alloc,gentst_time,VPMU-alloc,project,run-proute,vec,row,rtanal,VPCU-split,VDAG-alloc,runp2p_err,VMC,vc,PCU,retime-exout,MC_Total,runp2p_rbw,net,avgActive,PCU_Total,notFit,lrange,runhybrid_complete,proute-seed,reserve-dag,runp2p_complete,merge,backend,pmu-stage,clock,OPS-Other,reserve-pmu,OPS-All,mapping,constprop,DAG_Total,pirArgs,VDAG,name,col,proute-opts,rundot,OPS-FU,retime-buffer-only,flit-width,time-out,VMC-split,word,bcread,DAG,runp2p_cycle,runp2p_success,maketst_time,dedicated-dag,split-forward,nn,runp2p_deadlock,mdone,load,VBB-split,prtime,genpir,runhybrid_dram_power,vfifo,split-thread,codegen,OPS-Flt,merge-forward,runhybrid_success,vcLimit,arch,module,routing-cost,fifo-depth,sr,VPMU,algo,verbose,dot,runhybrid_wbw,maxActive,memelm,freq,VDAG-split,share-adctx,spatial_sha,debug-print,save,time,merge-algo,tungsten,routing-algo,app,runhybrid_deadlock,proute-q,OPS-Prog FU,MC,argin,debug,runhybrid_time,psim,pir_sha,trace,maketst_err,VPCU,OPS-Fix,open,runhybrid_rbw,slink,pracc,argout,VAFG-alloc
2,True,200,False,0,True,True,False,0,route_min_directed_valient,False,1,,0.34kHz,,1,,,False,5,DDR4,True,6,True,1,False,0:00.23,,db,65536,4,True,False,False,True,,True,2,,6,2,checkerboard,False,,1,True,,False,dfs,mesh,,True,1.64103,,9.945901393,2,pirTest,False,16,20,True,4,0,,1,4,2,False,40,0.0,hybrid,14.003944773175544,200,,True,False,0,0,True,False,Tst,6,1000000000,,0,,True,True,40,"--dot=true, --stat=true, --debug=true, --vdot=true, --save=true, --mapping=true, --codegen=true, --net=hybrid, --tungsten, --psim=false, --row=20, --col=20, --spatial-home=/home/yaqiz/spatial, --fast=true",0,AccelMain,20,-i100 -p100 -t1 -d100,True,,False,512,100,1,32,True,3,78,True,0:11.04,False,False,False,False,True,False,,,True,,4,1,True,,False,False,4,MyDesign,False,H-hop,16,True,2,route_min_directed_valient,False,True,,41.02564102564103,False,1000000000.0,0,False,6825a53b,True,True,2020-04-04 02:55:46 -0700,bfs,True,dor,BankEnable_0,False,4,,1,6,True,,False,4edc5840,False,,4,,False,,4,True,4,1
6,True,200,False,0,True,True,False,0,route_min_directed_valient,False,1,,0.42kHz,,1,,,False,5,DDR4,True,6,True,1,False,0:00.32,,db,65536,13,True,False,False,True,,True,6,,6,2,checkerboard,False,,1,True,,False,dfs,mesh,,,0.955224,,62.510191061,6,pirTest,False,16,20,True,25,0,,1,4,15,False,40,0.0,hybrid,10.058403634003893,200,,True,False,0,0,True,False,Tst,6,1000000000,,0,,True,True,40,"--dot=true, --stat=true, --debug=true, --vdot=true, --save=true, --mapping=true, --codegen=true, --net=hybrid, --tungsten, --psim=false, --row=20, --col=20, --spatial-home=/home/yaqiz/spatial, --fast=true",0,AccelMain,20,-i100 -p100 -t1 -d100,True,,False,512,100,1,32,True,10,134,True,0:54.37,False,False,False,False,True,False,,,True,,4,1,True,,False,False,4,MyDesign,False,H-hop,16,True,6,route_min_directed_valient,False,True,,11.940298507462687,False,1000000000.0,0,False,6825a53b,True,True,2020-04-04 02:55:46 -0700,bfs,True,dor,BankRange_0,False,4,,1,6,True,,False,4edc5840,False,,25,,False,,4,True,4,1
6,True,200,False,0,True,True,False,0,route_min_directed_valient,False,7,,2.14kHz,,1,,,False,5,DDR4,True,6,True,1,False,0:56.62,,db,65536,10,True,False,False,True,,True,7,,6,2,checkerboard,False,,1,True,,False,bfs,mesh,,True,4.32924,,59.121646867,6,pirTest,False,16,20,True,42,0,,7,4,33,False,40,25.9754,hybrid,5.303968640026905,200,,True,False,0,0,True,False,Tst,6,1000000000,,0,,True,True,40,"--dot=true, --stat=true, --debug=true, --vdot=true, --save=true, --split-algo=bfs, --mapping=true, --codegen=true, --net=hybrid, --tungsten, --psim=false, --row=20, --col=20, --spatial-home=/home/yaqiz/spatial, --fast=true",0,AccelMain,20,-i100 -p100 -t1 -d100,True,,False,512,100,7,32,True,8,121104,True,1:37.46,False,False,False,False,True,False,,,True,,4,1,True,,False,False,4,MyDesign,False,H-hop,16,True,6,route_min_directed_valient,False,True,,6.764433875016515,False,1000000000.0,0,False,6825a53b,True,True,2020-04-04 02:55:46 -0700,bfs,True,dor,BlackScholes_0,False,4,,7,6,True,,False,4edc5840,False,,42,,False,,4,True,4,1
,True,200,False,0,True,True,False,0,route_min_directed_valient,False,,,0.38kHz,,1,,,False,5,DDR4,True,6,True,1,False,0:00.23,,db,65536,1,True,False,False,True,,True,1,,6,2,checkerboard,False,,1,True,,False,dfs,mesh,,True,0.0,,5.65987479,,pirTest,False,16,20,True,1,0,,,4,0,False,40,0.0,hybrid,5.363984674329502,200,,True,False,0,0,True,False,Tst,6,1000000000,,0,,True,True,40,"--dot=true, --stat=true, --debug=true, --vdot=true, --save=true, --mapping=true, --codegen=true, --net=hybrid, --tungsten, --psim=false, --row=20, --col=20, --spatial-home=/home/yaqiz/spatial, --fast=true",0,AccelMain,20,-i100 -p100 -t1 -d100,True,,False,512,100,,32,True,0,87,True,0:06.21,False,False,False,False,True,False,,,True,,4,1,True,,False,False,4,MyDesign,False,H-hop,16,True,,route_min_directed_valient,False,True,,13.793103448275861,False,1000000000.0,0,False,6825a53b,True,True,2020-04-04 02:55:46 -0700,bfs,True,dor,BreakTest,False,4,,0,6,True,,False,4edc5840,False,,1,,False,,4,True,4,1
,True,200,False,0,True,True,False,0,route_min_directed_valient,False,,,0.04kHz,,1,,,False,5,DDR4,True,6,True,1,False,0:00.59,,db,65536,2,True,False,False,True,,True,2,,6,2,checkerboard,False,,1,True,,False,dfs,mesh,,True,0.0,,17.247547403,,pirTest,False,16,20,True,2,0,,,4,0,False,40,0.0,hybrid,23.91304347826087,200,,True,False,0,0,True,False,Tst,6,1000000000,,0,,True,True,40,"--dot=true, --stat=true, --debug=true, --vdot=true, --save=true, --mapping=true, --codegen=true, --net=hybrid, --tungsten, --psim=false, --row=20, --col=20, --spatial-home=/home/yaqiz/spatial, --fast=true",0,AccelMain,20,-i100 -p100 -t1 -d100,True,,False,512,100,,32,True,0,23,True,0:18.05,False,False,False,False,True,False,,,True,,4,1,True,,False,False,4,MyDesign,False,H-hop,16,True,,route_min_directed_valient,False,True,,43.47826086956522,False,1000000000.0,0,False,6825a53b,True,True,2020-04-04 02:55:46 -0700,bfs,True,dor,BreakTest2,False,4,,0,6,True,,False,4edc5840,False,,2,,False,,4,True,4,1
2,True,200,False,0,True,True,False,0,route_min_directed_valient,False,2,,0.75kHz,,1,,,False,5,DDR4,True,6,True,1,False,0:00.36,,db,65536,6,True,False,False,True,,True,2,,6,2,checkerboard,False,,1,True,,False,dfs,mesh,,True,15.1144,,19.367498302,2,pirTest,False,16,20,True,12,0,,2,4,9,False,40,0.472325,hybrid,20.647433747064742,200,,True,False,0,0,True,False,Tst,6,1000000000,,0,,True,True,40,"--dot=true, --stat=true, --debug=true, --vdot=true, --save=true, --mapping=true, --codegen=true, --net=hybrid, --tungsten, --psim=false, --row=20, --col=20, --spatial-home=/home/yaqiz/spatial, --fast=true",0,AccelMain,20,-i100 -p100 -t1 -d100,True,,False,512,100,2,32,True,3,271,True,0:17.74,False,False,False,False,True,False,,,True,,4,1,True,,False,False,4,MyDesign,False,H-hop,16,True,2,route_min_directed_valient,False,True,,47.23247232472325,False,1000000000.0,0,False,6825a53b,True,True,2020-04-04 02:55:46 -0700,bfs,True,dor,BroadcastTest,False,4,,2,6,True,,False,4edc5840,False,,12,,False,,4,True,4,1
2,True,200,False,0,True,True,False,0,route_min_directed_valient,False,1,,0.26kHz,,1,,,False,5,DDR4,True,6,True,1,False,0:00.56,,db,65536,4,True,False,False,True,,True,2,,6,2,checkerboard,False,,1,True,,False,dfs,mesh,,True,1.34266,,22.910991785,2,pirTest,False,16,20,True,5,0,,1,4,5,False,40,0.447552,hybrid,21.10616656071202,200,,True,False,0,0,True,False,Tst,6,1000000000,,0,,True,True,40,"--dot=true, --stat=true, --debug=true, --vdot=true, --save=true, --mapping=true, --codegen=true, --net=hybrid, --tungsten, --psim=false, --row=20, --col=20, --spatial-home=/home/yaqiz/spatial, --fast=true",0,AccelMain,20,-i100 -p100 -t1 -d100,True,,False,512,100,1,32,True,0,143,True,0:21.49,False,False,False,False,True,False,,,True,,4,1,True,,False,False,4,MyDesign,False,H-hop,16,True,2,route_min_directed_valient,False,True,,33.56643356643357,False,1000000000.0,0,False,6825a53b,True,True,2020-04-04 02:55:46 -0700,bfs,True,dor,CountZero_0,False,4,,1,6,True,,False,4edc5840,False,,5,,False,,4,True,4,1
1,False,200,False,0,True,True,False,0,route_min_directed_valient,False,1,,,,1,,,False,5,DDR4,True,6,True,1,False,,,db,65536,3,True,False,False,True,,True,1,,6,2,checkerboard,False,,1,True,,False,dfs,mesh,,,,,8.24708003,1,pirTest,False,16,20,True,3,0,,1,4,1,False,40,,hybrid,,200,,True,False,0,0,False,False,Tst,6,1000000000,,0,,True,True,40,"--dot=true, --stat=true, --debug=true, --vdot=true, --save=true, --mapping=true, --codegen=true, --net=hybrid, --tungsten, --psim=false, --row=20, --col=20, --spatial-home=/home/yaqiz/spatial, --fast=true",0,AccelMain,20,-i100 -p100 -t1 -d100,True,,False,512,100,1,32,True,2,,False,0:07.85,False,False,False,False,True,False,,,True,,4,1,True,,False,False,4,MyDesign,False,H-hop,16,True,1,route_min_directed_valient,False,True,,,False,1000000000.0,0,False,6825a53b,True,True,2020-04-04 02:55:46 -0700,bfs,True,dor,DRAMCompression,False,4,,1,6,True,,False,4edc5840,False,"src//Top.h:71:3: error: ‘DecompressAG’ does not name a type
",3,,False,,4,True,4,1
,True,200,False,0,True,True,False,0,route_min_directed_valient,False,2,,3.88kHz,,1,,,False,5,DDR4,True,6,True,1,False,0:00.24,,db,65536,7,True,False,False,True,,True,7,,6,2,checkerboard,False,,1,True,,False,dfs,mesh,,True,1.10108,,12.184555579,,pirTest,False,16,20,True,7,0,,2,4,0,False,40,1.10108,hybrid,7.096774193548387,200,,True,False,0,0,True,False,Tst,6,1000000000,,0,,True,True,40,"--dot=true, --stat=true, --debug=true, --vdot=true, --save=true, --mapping=true, --codegen=true, --net=hybrid, --tungsten, --psim=false, --row=20, --col=20, --spatial-home=/home/yaqiz/spatial, --fast=true",0,AccelMain,20,-i100 -p100 -t1 -d100,True,,False,512,100,2,32,True,0,930,True,0:11.57,False,False,False,False,True,False,,,True,,4,1,True,,False,False,4,MyDesign,False,H-hop,16,True,,route_min_directed_valient,False,True,,27.526881720430108,False,1000000000.0,0,False,6825a53b,True,True,2020-04-04 02:55:46 -0700,bfs,True,dor,DRAMDoubleBuffer2_0,False,4,,2,6,True,,False,4edc5840,False,,7,,False,,4,True,4,1
,True,200,False,0,True,True,False,0,route_min_directed_valient,False,2,,4.23kHz,,1,,,False,5,DDR4,True,6,True,1,False,0:00.22,,db,65536,7,True,False,False,True,,True,7,,6,2,checkerboard,False,,1,True,,False,dfs,mesh,,True,1.10108,,8.905899928,,pirTest,False,16,20,True,7,0,,2,4,0,False,40,1.10108,hybrid,7.096774193548387,200,,True,False,0,0,True,False,Tst,6,1000000000,,0,,True,True,40,"--dot=true, --stat=true, --debug=true, --vdot=true, --save=true, --mapping=true, --codegen=true, --net=hybrid, --tungsten, --psim=false, --row=20, --col=20, --spatial-home=/home/yaqiz/spatial, --fast=true",0,AccelMain,20,-i100 -p100 -t1 -d100,True,,False,512,100,2,32,True,0,930,True,0:09.62,False,False,False,False,True,False,,,True,,4,1,True,,False,False,4,MyDesign,False,H-hop,16,True,,route_min_directed_valient,False,True,,27.526881720430108,False,1000000000.0,0,False,6825a53b,True,True,2020-04-04 02:55:46 -0700,bfs,True,dor,DRAMDoubleBuffer2_1,False,4,,2,6,True,,False,4edc5840,False,,7,,False,,4,True,4,1
